CODIGO_FORNECEDOR;FORNECEDOR;COMPRADOR;QTD_SKU;VLR_VENDA_TOTAL;VLR_COMPRA_TOTAL;VLR_ENTRADA_BONIFICADA;VLR_CUSTO_BRUTO_CD;VLR_CUSTO_BRUTO_LOJAS;VLR_CUSTO_BRUTO_TOTAL_EMPRESA;QTD_INCINERACAO_ANO_ATUAL
16491;JBS S A;CONSOLIDADO;52;R$ 3.794.578,96;R$ 6.093.342,56;R$ 0,00;R$ 749.914,27;R$ 1.893.277,67;R$ 2.643.191,94;R$ 0,00
21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;CONSOLIDADO;138;R$ 3.443.980,44;R$ 3.013.872,65;R$ 0,00;R$ 469.576,93;R$ 481.406,24;R$ 950.983,17;R$ 0,00
12167;BRF S.A;CONSOLIDADO;161;R$ 1.622.787,20;R$ 1.488.421,48;R$ 52.649,10;R$ 315.930,70;R$ 711.397,03;R$ 1.027.327,73;R$ 0,00
15441;SPAL IND BRAS BEBIDAS AS;CONSOLIDADO;169;R$ 1.487.099,13;R$ 1.473.608,38;R$ 125.298,69;R$ 568.767,25;R$ 996.663,42;R$ 1.565.430,67;R$ 15.656,00
2597;ANGELA PETRY HERTER;CONSOLIDADO;7;R$ 1.294.489,94;R$ 1.275.672,00;R$ 0,00;R$ 0,00;R$ 338.674,60;R$ 338.674,60;R$ 0,00
16846;LATICINIOS CENCI LTDA;CONSOLIDADO;4;R$ 1.336.731,70;R$ 961.557,50;R$ 0,00;R$ 630.334,79;R$ 270.529,42;R$ 900.864,21;R$ 0,00
10421;COOP SANTA CLARA LTDA IND DE LATICINIOS;CONSOLIDADO;90;R$ 813.771,83;R$ 793.963,68;R$ 0,00;R$ 199.113,88;R$ 366.092,10;R$ 565.205,98;R$ 89,00
9638;CRBS AS CDD PELOTAS;CONSOLIDADO;105;R$ 1.039.663,87;R$ 610.656,88;R$ 0,00;R$ 670.038,84;R$ 985.859,94;R$ 1.655.898,78;R$ 13.050,00
9379;LACTALIS BRASIL COM IMP EXP LTDA;CONSOLIDADO;173;R$ 633.068,80;R$ 598.591,89;R$ 0,00;R$ 143.197,84;R$ 394.415,34;R$ 537.613,18;R$ 376,00
15208;LATICINIOS TIROL LTDA.;CONSOLIDADO;32;R$ 1.059.659,78;R$ 594.644,52;R$ 0,00;R$ 215.907,19;R$ 154.029,63;R$ 369.936,82;R$ 0,00
14469;CARLOS CANCIAN E CIA LTDA;CONSOLIDADO;37;R$ 386.822,58;R$ 535.491,79;R$ 452,56;R$ 198.851,09;R$ 434.069,24;R$ 632.920,32;R$ 4.230,00
17017;ZAFFALON E CIA LTDA;CONSOLIDADO;465;R$ 945.307,96;R$ 528.232,32;R$ 0,00;R$ 1.293.418,03;R$ 945.633,68;R$ 2.239.051,71;R$ 932,00
15134;NESTLE BRASIL LTDA;CONSOLIDADO;351;R$ 1.352.887,30;R$ 497.026,16;R$ 0,00;R$ 934.207,69;R$ 1.319.895,10;R$ 2.254.102,79;R$ 1.010,00
