CODIGO_EMPRESA;EMPRESA;DATA_EMISSAO;NUMERO_NF;CGO;DEPARTAMENTO;COMPRADOR;CODIGO_FORNECEDOR;FORNECEDOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;QUANTIDADE_NF;VALOR_PRODUTO_NF
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;6451;C R DOS SANTOS - INDUSTRIAL;10665;BACON MILAN KG FAT;5,1;R$ 140,40
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;10421;COOP SANTA CLARA LTDA IND DE LATICINIOS;10671;BACON STA CLARA KG CORT;,26;R$ 9,83
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;6675;COOPERATIVA CENTRAL AURORA ALIMENTOS;11371;LOMBO SUINO NOBRE DEF KG;,06;R$ ,81
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;7344;EXCELSIOR ALIMENTOS S.A.;11511;MORTAD EXCELSIOR S TOUC FAT KG;,02;R$ ,16
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;11522;MORTAD PERDIGAO BOLOGNELLA KG FAT;,63;R$ 6,59
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;13207;MILANESE INDUSTRIA DE ALIMENTOS LTDA;11702;PEITO FGO PROGRESSO DEF KG INT;,28;R$ 5,98
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;11711;PEITO PERU SADIA LIGHT DEF KG FAT;,04;R$ 1,45
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;11804;PRES SADIA KG FAT;,11;R$ 2,29
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;16846;LATICINIOS CENCI LTDA;11835;QJO MUSSARELA FAT KG;,37;R$ 9,22
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;31859;PEITO PERDIGAO CHESTER DEF KG FAT;,47;R$ 12,09
11;011-BAKLIZI;01/04/2026;324;821;PERECIVEIS;SANDRO MARTINS VIANNA;10956;DISPAL DIST.DE PRODUTOS ALIM.LAMANA;36343;SALAME ITAL BORELLA KG;3,94;R$ 106,88
2;002-BAKLIZI;01/04/2026;642;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;9608;ESTANCIA DA FIGUEIRA COM HORTIFRUTI LTDA;10535;ALFACE HIDROPON EST DA FIGUEIRA;70;R$ 231,00
2;002-BAKLIZI;01/04/2026;642;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10553;AMEIXA KG;1,5;R$ 23,34
2;002-BAKLIZI;01/04/2026;642;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10674;BANANA CATURRA KG;5,1;R$ 28,05
2;002-BAKLIZI;01/04/2026;642;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10694;BATATA INGLESA MONALISA BCA KG;3;R$ 7,20
2;002-BAKLIZI;01/04/2026;642;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11264;KIWI KG;2,3;R$ 47,29
2;002-BAKLIZI;01/04/2026;642;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11380;MACA DELICIOSA KG;1,2;R$ 12,60
2;002-BAKLIZI;01/04/2026;642;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11381;MACA FUJI KG;1,1;R$ 9,16
2;002-BAKLIZI;01/04/2026;642;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11382;MACA GALA NACIONAL KG;4,6;R$ 20,42
