CODIGO_EMPRESA;EMPRESA;DATA_EMISSAO;NUMERO_NF;CGO;DEPARTAMENTO;COMPRADOR;CODIGO_FORNECEDOR;FORNECEDOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;QUANTIDADE_NF;VALOR_PRODUTO_NF
18;018-BAKLIZI;02/02/2026;2;821;PERECIVEIS;SANDRO MARTINS VIANNA;8951;JAIR B.HENICKA;3961;AIPIM HENICKA DESC VACUO CONG 1KG;2;R$ 17,98
18;018-BAKLIZI;02/02/2026;2;821;PERECIVEIS;SANDRO MARTINS VIANNA;7829;COMERCIAL DE ALIMENTOS BOTUCARAI LTDA;10845;CARNE MOIDA CHULETAO BOV CONG 400G;1;R$ 9,59
18;018-BAKLIZI;02/02/2026;2;821;PERECIVEIS;SANDRO MARTINS VIANNA;6986;JOSE CLAUDEMIR ALLES;10846;CARNE MOIDA CHULETAO FGO CONG 500G;1;R$ 9,29
18;018-BAKLIZI;02/02/2026;2;821;PERECIVEIS;SANDRO MARTINS VIANNA;19510;ITALIA COMERCIO E DISTRIBUIDORA LTDA;13126;BATATA PRE FRITA OK FRIES 1 5KG;2;R$ 34,70
18;018-BAKLIZI;02/02/2026;2;821;PERECIVEIS;SANDRO MARTINS VIANNA;16491;JBS S A;19306;HAMB FRIBOI COSTELA 180G;1;R$ 4,99
4;004-BAKLIZI;03/02/2026;2;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;22024;64713641 ISLEIDE MARIA GONCALVES CORDEIRO RODRIGUES;11480;MINI PASTEL FRIT CARNE SPECIATTA;,06;R$ 3,00
4;004-BAKLIZI;03/02/2026;2;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11481;MINI RISOLIS CARNE SPECIATTA;,27;R$ 13,50
4;004-BAKLIZI;03/02/2026;3;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11573;OURICO SPECIATTA;,35;R$ 17,50
4;004-BAKLIZI;04/02/2026;7;821;PERECIVEIS;SANDRO MARTINS VIANNA;3528;FABIANO ZAFFALON E CIA.;9849;MARG DELICIA 250G C SAL;1;R$ 4,28
4;004-BAKLIZI;04/02/2026;7;821;PERECIVEIS;SANDRO MARTINS VIANNA;10956;DISPAL DIST.DE PRODUTOS ALIM.LAMANA;9963;PAO ALHO SANTA MASSA PICANTE 400G;16;R$ 191,84
1;001-BAKLIZI;06/02/2026;2;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;2597;ANGELA PETRY HERTER;11583;OVOS BRANCO 30UN;39;R$ 507,00
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;10739;BOLINHA SPECIATTA QJO;1,01;R$ 22,69
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11007;CROQUETE BATATA CARNE SPECIATTA;,97;R$ 21,71
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11048;EMPADA FGO SPECIATTA KG;,81;R$ 22,63
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11473;MINI CHURROS DOCE LEIT SPECIATTA;1,78;R$ 37,55
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11474;MINI COXINHA FRANGO SPECIATTA;1,09;R$ 24,49
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11476;MINI CROQUETE CARN REQ SPECIATTA;,9;R$ 20,18
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11479;MINI PASTEL FOLH FGO SPECIATTA;,91;R$ 20,98
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;22024;64713641 ISLEIDE MARIA GONCALVES CORDEIRO RODRIGUES;11480;MINI PASTEL FRIT CARNE SPECIATTA;,86;R$ 18,12
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11573;OURICO SPECIATTA;,99;R$ 22,29
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;10511;MARQUESPAN ALIMENTOS LTDA;11639;PAO HAMB MARQUESPAN MR KG;2,6;R$ 17,84
3;003-BAKLIZI;07/02/2026;39;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11674;PASTEL FOLH SPECIATTA PRES QJO KG;,79;R$ 22,07
