CODIGO_EMPRESA;EMPRESA;DATA_EMISSAO;NUMERO_NF;CGO;DEPARTAMENTO;COMPRADOR;CODIGO_FORNECEDOR;FORNECEDOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;QUANTIDADE_NF;VALOR_PRODUTO_NF
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10490;ABOBORA ITALIA KG;3,7;R$ 17,58
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10674;BANANA CATURRA KG;29,8;R$ 175,82
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10676;BANANA PRATA KG;8,2;R$ 57,40
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10687;BATATA DOCE BRANCA KG;8,2;R$ 37,72
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10691;BATATA DOCE ROSA E ROXA KG;6,2;R$ 24,86
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10705;BERINJELA KG;3,2;R$ 22,40
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10864;CENOURA KG;8,2;R$ 63,80
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;11172;COM DE LARANJAS VALE DO CAI LTDA;11288;LIMAO TAITI KG;16,8;R$ 45,70
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11392;MAMAO FORMOSA KG;8,2;R$ 53,30
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11394;MAMAO PAPAYA KG;16,8;R$ 218,40
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;2597;ANGELA PETRY HERTER;11583;OVOS BRANCO 30UN;10;R$ 140,00
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11734;PESSEGO NACIONAL BRANCO KG;21,9;R$ 72,93
7;007-BAKLIZI;02/05/2026;418;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;2541;JULIANO ALVES PAVANATTO;11758;PIMENTAO VERDE KG;8,9;R$ 82,77
