CODIGO_EMPRESA;EMPRESA;DATA_EMISSAO;NUMERO_NF;CGO;DEPARTAMENTO;COMPRADOR;CODIGO_FORNECEDOR;FORNECEDOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;QUANTIDADE_NF;VALOR_PRODUTO_NF
12;012-BAKLIZI;02/03/2026;56;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;32703;SOBRECOXA FGO SADIA BDJ 1KG;79;R$ 775,78
14;014-BAKLIZI;02/03/2026;81;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11232;FOLHADO SPECIATTA ABACAXI KG;,22;R$ 5,30
14;014-BAKLIZI;02/03/2026;81;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11473;MINI CHURROS DOCE LEIT SPECIATTA;,17;R$ 3,77
14;014-BAKLIZI;02/03/2026;81;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11476;MINI CROQUETE CARN REQ SPECIATTA;,85;R$ 19,14
14;014-BAKLIZI;02/03/2026;81;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;22024;64713641 ISLEIDE MARIA GONCALVES CORDEIRO RODRIGUES;11480;MINI PASTEL FRIT CARNE SPECIATTA;,38;R$ 8,58
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10490;ABOBORA ITALIA KG;8,6;R$ 40,16
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;9608;ESTANCIA DA FIGUEIRA COM HORTIFRUTI LTDA;10510;AGRIAO HIDROPON EST DA FIGUEIRA;2;R$ 6,00
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;9608;ESTANCIA DA FIGUEIRA COM HORTIFRUTI LTDA;10533;ALFACE AMERICANA EST DA FIGUEIRA;12;R$ 60,00
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;9608;ESTANCIA DA FIGUEIRA COM HORTIFRUTI LTDA;10535;ALFACE HIDROPON EST DA FIGUEIRA;10;R$ 30,00
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;9608;ESTANCIA DA FIGUEIRA COM HORTIFRUTI LTDA;10548;ALM RADICHE HIDR EST DA FIGUEIRA;6;R$ 18,00
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;10786;BROCOLIS BDJ 200G;10;R$ 58,20
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;9608;ESTANCIA DA FIGUEIRA COM HORTIFRUTI LTDA;10874;CHEIRO VERDE EST DA FIGUEIRA;15;R$ 45,00
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;9608;ESTANCIA DA FIGUEIRA COM HORTIFRUTI LTDA;10942;COUVE EST DA FIGUEIRA MACO;10;R$ 30,00
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11244;GOIABA KG;1,2;R$ 54,00
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11472;MILHO VERDE PCT 400G;10;R$ 44,10
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11494;MORANGUINHO BDJ 250G;20;R$ 97,00
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;11722;PEPINO JAPONES;10;R$ 33,30
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;9608;ESTANCIA DA FIGUEIRA COM HORTIFRUTI LTDA;11947;RUCULA HIDROP EST DA FIGUEIRA;30;R$ 90,00
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;12028;TOMATE KG;40,5;R$ 131,63
4;004-BAKLIZI;03/03/2026;68;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;12036;TOMATE ITALIANO;5,4;R$ 36,45
11;011-BAKLIZI;03/03/2026;88;821;PERECIVEIS;SANDRO MARTINS VIANNA;16351;SEARA ALIMENTOS LTDA;10851;CARNE SEARA SUINO SALG 400G;27;R$ 191,43
11;011-BAKLIZI;03/03/2026;88;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;35197;LING PERDIGAO NA BRASA 700G FGO;3;R$ 37,02
14;014-BAKLIZI;03/03/2026;89;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;10739;BOLINHA SPECIATTA QJO;,6;R$ 12,59
14;014-BAKLIZI;03/03/2026;89;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11007;CROQUETE BATATA CARNE SPECIATTA;,39;R$ 8,72
14;014-BAKLIZI;03/03/2026;89;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11473;MINI CHURROS DOCE LEIT SPECIATTA;,6;R$ 13,39
14;014-BAKLIZI;03/03/2026;89;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11474;MINI COXINHA FRANGO SPECIATTA;,73;R$ 15,33
14;014-BAKLIZI;03/03/2026;89;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11479;MINI PASTEL FOLH FGO SPECIATTA;,26;R$ 6,38
14;014-BAKLIZI;03/03/2026;89;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;16165;SPECIATTA CONGELADOS LTDA;11573;OURICO SPECIATTA;,62;R$ 13,84
11;011-BAKLIZI;03/03/2026;90;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;7065;MARG BECEL 500G C SAL;1;R$ 7,94
11;011-BAKLIZI;03/03/2026;90;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;7067;MARG CLAYBOM 500G C SAL;2;R$ 10,82
11;011-BAKLIZI;03/03/2026;90;821;PERECIVEIS;SANDRO MARTINS VIANNA;3528;FABIANO ZAFFALON E CIA.;7072;MARG DELICIA 500G C SAL;3;R$ 20,97
11;011-BAKLIZI;03/03/2026;90;821;PERECIVEIS;SANDRO MARTINS VIANNA;11522;COAMO AGROINDUSTRIAL COOPERATIVA;7077;MARG DUALIS 500G C SAL;10;R$ 29,70
11;011-BAKLIZI;03/03/2026;90;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;7084;MARG QUALY AERA 500G;1;R$ 7,65
11;011-BAKLIZI;03/03/2026;90;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;7085;MARG QUALY 500G C SAL;7;R$ 58,73
11;011-BAKLIZI;03/03/2026;90;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;9847;MARG CLAYBOM 250G C SAL;1;R$ 2,98
11;011-BAKLIZI;03/03/2026;90;821;PERECIVEIS;SANDRO MARTINS VIANNA;3528;FABIANO ZAFFALON E CIA.;9848;MARG DELICIA 1KG C SAL;5;R$ 70,40
11;011-BAKLIZI;03/03/2026;90;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;9851;MARG QUALY AERA 250G C SAL;2;R$ 9,26
14;014-BAKLIZI;03/03/2026;90;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;10511;MARQUESPAN ALIMENTOS LTDA;11664;PAO RAMINHO DOCE MARQUESPAN KG;,26;R$ 3,27
11;011-BAKLIZI;03/03/2026;90;821;PERECIVEIS;SANDRO MARTINS VIANNA;11522;COAMO AGROINDUSTRIAL COOPERATIVA;31504;MARG COAMO SABOR MANTEIGA 500G;2;R$ 11,14
11;011-BAKLIZI;03/03/2026;91;821;PERECIVEIS;SANDRO MARTINS VIANNA;9379;LACTALIS BRASIL COM IMP EXP LTDA;6781;LEITE LV EDGE ELEGE 1L INTEGRAL;1;R$ 3,09
11;011-BAKLIZI;03/03/2026;91;821;PERECIVEIS;SANDRO MARTINS VIANNA;15208;LATICINIOS TIROL LTDA.;6783;LEITE UHT TIROL C TAMPA 1L INTEGRAL;9;R$ 25,20
11;011-BAKLIZI;03/03/2026;91;821;PERECIVEIS;SANDRO MARTINS VIANNA;15208;LATICINIOS TIROL LTDA.;6784;LEITE UHT TIROL C TAMP 1L SEMI DESN;3;R$ 8,25
11;011-BAKLIZI;03/03/2026;91;821;PERECIVEIS;SANDRO MARTINS VIANNA;16169;LATICINIOS BELA VISTA LTDA;6796;LEITE UHT MOLICO 1L ZERO LACTOSE;12;R$ 51,00
11;011-BAKLIZI;03/03/2026;91;821;PERECIVEIS;SANDRO MARTINS VIANNA;16169;LATICINIOS BELA VISTA LTDA;6800;LEITE UHT MOLICO TP 1L DESNAT;1;R$ 3,98
11;011-BAKLIZI;03/03/2026;91;821;PERECIVEIS;SANDRO MARTINS VIANNA;14321;COOPERATIVA SANTA CLARA LTDA;9741;LEITE SANTA CLARA LV SEMI DESN 1L;6;R$ 19,02
14;014-BAKLIZI;03/03/2026;91;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;10511;MARQUESPAN ALIMENTOS LTDA;10782;BRIOCHE MARQUESPAN DOCE LEITE KG;,13;R$ 1,53
14;014-BAKLIZI;03/03/2026;91;821;PERECIVEIS;LAURINDO BISCUBI RAMOS;10511;MARQUESPAN ALIMENTOS LTDA;11664;PAO RAMINHO DOCE MARQUESPAN KG;,26;R$ 3,24
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;5528;PAMPLONA ALIMENTOS;4340;BANHA PAMPLONA PCT 1KG;1;R$ 9,80
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;14112;DANONE LTDA;5407;IOG PETIT DANONINHO DANONE 320G MORANGO;1;R$ 5,45
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;14112;DANONE LTDA;5410;IOG PRA LEVAR DANONINHO DANONE 70G MORANGO;2;R$ 4,94
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;6302;HAMBURGUER PERDIGAO 56G BOVINO 605794;2;R$ 1,96
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;14112;DANONE LTDA;6373;IOG DANONE ACTIVIA 800G MORANGO;1;R$ 9,23
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;14112;DANONE LTDA;6401;IOG DANONE 160G NATURAL INTEGRAL;2;R$ 4,04
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;14112;DANONE LTDA;6412;IOG DANONINHO DANONE 100G MORANGO;1;R$ 2,14
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;14112;DANONE LTDA;6760;IOG DANONE ACTIVIA 340G AVEIA;3;R$ 23,10
11;011-BAKLIZI;03/03/2026;92;821;PERFUMARIA E LIMPEZA;SANDRO MARTINS VIANNA;12167;BRF S.A;7161;MINI CHICKEN PERDIGAO 275G TRAD;3;R$ 20,22
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;7197;MORTADELA SADIA 1KG C GORD MFGY;1;R$ 8,01
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;8036;SALSICHA PERDIGAO 500G HOT DOG FRAN;13;R$ 110,50
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;8037;SALSICHA SADIA 500G HOT DOG SAH;1;R$ 9,40
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;14112;DANONE LTDA;8457;SOBR DANETTE DANONE 180G CHOCOLATE;1;R$ 4,26
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;9608;HOT POCKET SADIA CHEDDAR 145G;1;R$ 5,43
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;21239;MORTADELA SADIA MISTA 400G MFGPSD;9;R$ 33,66
11;011-BAKLIZI;03/03/2026;92;821;PERECIVEIS;SANDRO MARTINS VIANNA;12167;BRF S.A;34522;SALSICHA PERDIGAO 500G DEFUMADA;4;R$ 35,76
11;011-BAKLIZI;03/03/2026;93;821;MERCEARIA;NIDAL TUBASI;15139;CARGIL AGRICOLA S A GOIANI;959;OLEO LIZA ALGODAO TP1 900ML;3;R$ 35,73
