NUMERONF;SERIENF;EMPRESA;DTAEMISSAO;DTAENTRADA;VLRTOTALNF;SITUACAO_DESC;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SEQPESSOA;FORNECEDOR;STATUSCARGA;USUARIORF;NFECHAVEACESSO;CODGERALOPER;ITENS_CODIGO;ITENS_DESCRICAO;ITENS_QUANTIDADE
1334;1;015-CD;03/02/2026;03/02/2026;R$ 1.253,00;XML;X;116039;;5196;5196 - LUCAS IND E COM DE GENEROS ALI;;;42260247722023000173550010000013341764487092;100;;;
114899;4;015-CD;07/02/2026;07/02/2026;R$ 39,04;XML;X;215570;;15441;15441 - SPAL IND BRAS BEBIDAS AS;;;43260261186888015620550040001148991045138076;100;;;
428811;1;015-CD;09/02/2026;09/02/2026;R$ 416,00;XML;X;255064;;8423;8423 - DZ PETS;;;43260213507909000182550010004288111319983035;100;;;
111269;1;015-CD;20/02/2026;20/02/2026;R$ 537,60;XML;X;516332;;6148;6148 - UNIAGRO IND E COM DE PROD ALIM;;;43260294964889000413550010001112691961971209;100;;;
704329;1;015-CD;20/02/2026;20/02/2026;R$ 670,83;XML;X;539947;;8702;8702 - CAFE TRES CORACOES S.A;;;43260217467515002819550010007043291689769312;100;;;
704335;1;015-CD;20/02/2026;20/02/2026;R$ 13.937,76;XML;X;539948;;8702;8702 - CAFE TRES CORACOES S.A;;;43260217467515002819550010007043351373998955;100;;;
25961;6;003-BAKLIZI;28/02/2026;28/02/2026;R$ 16,00;XML;X;718760;;9079;9079 - HIPERSUL PRODUTOS DE LIMPEZA;;;43260205922293000188550060000259611910030398;100;;;
25958;6;015-CD;28/02/2026;09/06/2026;R$ 16,00;RECEBIMENTO;R;;184494;9079;9079 - HIPERSUL PRODUTOS DE LIMPEZA;;;43260205922293000188550060000259581587210541;100;;;
694221;3;015-CD;02/03/2026;02/03/2026;R$ 6.483,75;XML;X;754522;;13838;13838 - TOPFLEX DISTRIBUIDOR DE ALIMEN;;;43260312019862000226550030006942211025855092;100;;;
202568;1;017-BAKLIZI;02/03/2026;02/03/2026;R$ 550,46;XML;X;759583;;10124;10124 - PEPSICO DO BRASIL LTDA;;;43260331565104010563550010002025681833932223;100;;;
1538557;1;015-CD;04/03/2026;04/03/2026;R$ 645,04;XML;X;793737;;10190;10190 - MILI S/A;;;42260378908266000205550010015385571066317500;100;;;
471554;3;003-BAKLIZI;06/03/2026;06/03/2026;R$ 1.604,60;XML;X;829981;;3589;3589 - EVERTON RICARDO BIEHL SOTT & C;;;43260303606085000144550030004715541450440618;101;;;
161458;1;015-CD;22/04/2026;22/04/2026;R$ 518,64;XML;X;2838612;;12457;12457 - INDUSTRIA MIRIAM LTDA;;;43260488674726000150550010001614581001237922;100;;;
136183;1;017-BAKLIZI;05/05/2026;10/06/2026;R$ 135,00;NOTA LIBERADA;L;;185242;9543;9543 - CARGNELUTTI COM DE GAS LTDA;;;43260509099735000199550010001361831119006440;100;;;
535376;2;015-CD;11/05/2026;02/06/2026;R$ 644,22;RECEBIMENTO;R;;178774;10885;10885 - HIPER TEXTIL LTDA;;;42260506555530000263550020005353761765201753;100;;;
535401;2;015-CD;11/05/2026;11/05/2026;R$ 644,22;XML;X;3224236;;10885;10885 - HIPER TEXTIL LTDA;;;42260506555530000263550020005354011136023064;100;;;
8407;2;015-CD;13/05/2026;13/05/2026;R$ 3.225,64;XML;X;3258864;;16990;16990 - BIGUA ALIMENTOS IND E COMLTDA;;;43260510395462000290550020000084071227588510;100;;;
8425;2;015-CD;20/05/2026;01/06/2026;R$ 3.225,64;NOTA LIBERADA;L;;170960;16990;16990 - BIGUA ALIMENTOS IND E COMLTDA;;;43260510395462000290550020000084251587746310;100;;;
60133;0;015-CD;22/05/2026;22/05/2026;R$ 623,80;XML;X;3423947;;12743;12743 - CEREAIS RUVIARO LTDA;;;43260502999484000150550000000601331534294057;103;;;
4813;2;017-BAKLIZI;08/06/2026;09/06/2026;R$ 954,00;NOTA LIBERADA;L;;183725;9648;9648 - EQUILIBRIO SAUDAVEL PROD NATUR;;;43260630540716000142550020000048131663030328;100;;;
1511670;2;014-BAKLIZI;11/06/2026;13/06/2026;R$ 659,34;RECEBIMENTO;R;;188133;5783;5783 - PRADO DISTRIBUIDORA DE ALIMENT;;;43260600323283000102550020015116701648711426;100;;;
