DEPARTAMENTO;SEQPRODUTO;DESCCOMPLETA;EMPRESA_CD;ESTOQUE_ATUAL;DATA_ULT_SAIDA;DIAS_SEM_SAIDA;DATA_CADASTRO
BEBIDAS;690;ESP OREMUS MOSCATEL GF 750ML BRANCO;15;54;24/06/2026;47;16/10/2024
BEBIDAS;691;ESP OREMUS MOSCATEL GF 750ML ROSE;15;42;24/06/2026;47;16/10/2024
BEBIDAS;697;ESP Q DO MORGADO MOSCATEL GF 660ML BRANCO;15;102;09/06/2026;62;16/10/2024
BEBIDAS;699;ESP Q DO MORGADO MOSCATEL GF 660ML ROSE;15;264;24/06/2026;47;16/10/2024
BEBIDAS;725;FILTRADO GARIBALDI S ALC 660ML ROSE;15;84;26/06/2026;45;16/10/2024
BEBIDAS;728;SUCO GARIBALDI INTEGRAL VD 1 5L UVA UVA BRANCO;15;6;08/06/2026;63;16/10/2024
BEBIDAS;678;SUCO MAGUARY TP 1L MACA;15;11;07/07/2026;34;15/10/2024
BEBIDAS;146;VH ARBO MERLOT 750ML;15;6;12/06/2026;59;25/09/2024
BEBIDAS;143;VH ARBO RIESLING SC 750ML;15;6;24/06/2026;47;25/09/2024
BEBIDAS;166;VH BELTRAME BCO PET 1 9L SV;15;18;03/07/2026;38;26/09/2024
BEBIDAS;205;VH CANCAO TINTO 750ML SC;15;108;04/07/2026;37;27/09/2024
BEBIDAS;214;VH COUNTRY WINE BCO 750ML SC;15;28;09/07/2026;32;28/09/2024
BEBIDAS;239;VH DEL GRANO GOLD TINTO 750ML SC;15;30;04/07/2026;37;30/09/2024
BEBIDAS;247;VH DEL GRANO PROMOCIONAL 1L SV;15;54;14/05/2026;88;30/09/2024
BEBIDAS;308;VH TRADICAO NIAGARA BCO 1 4L SV;15;642;03/07/2026;38;01/10/2024
INATIVAR;9770;A EXCLUIR ITENS UNIDADE EXCLUIR;15;30;01/02/2026;190;26/04/2025
INATIVAR;3896;ABS C ABAS INTIMUS 32UN SUAVE;15;75;26/04/2025;471;26/04/2025
MERCEARIA;1201;BALA GOMA FINI GELATINA 250G BANANA;15;120;06/11/2024;642;06/11/2024
MERCEARIA;1164;BALA TOFFANO 400G TOFFRUT FRAMB;15;25;23/06/2026;48;05/11/2024
MERCEARIA;25984;BISC DOCE NESTLE CHOCO TRIO 90G BISC NESTLE CHO;15;264;08/07/2026;33;21/06/2025
