TABLE_NAME;COLUMN_NAME
BKP_MADV_EDI_ORDER_NEOGRID_32_260326;PZOPAGAMENTO
CMPX_MENSAGEM_LIMCOMPRA;PZOPAGAMENTO
CMP_PEDAPROVACAO;PZOPAGAMENTO
DOM_CONFIGINTAUTODOC;NROCONDPAGTO
EDI_PEDIDOSUPRIM;PZOPAGAMENTO
EDI_PEDVENDAFORMAPAGTO;NROCONDPAGTO
FLC_PEDCOMPRAEXCLUIDO;PZOPAGAMENTO
GEX_SELECROWID;PZOPAGAMENTO
MACV_BASECOMPRAPROD;PZOPAGAMENTO
MACV_BASEPSITEMEXPEDIR;PZOPAGAMENTO
MACV_BASEPSITEMRECEBER;PZOPAGAMENTO
MACV_CCUFHISTORICO;PZOPAGAMENTO
MACV_CCUFHISTORICO_BKP;PZOPAGAMENTO
MACV_CUSTOCOMPRAFAM;PZOPAGAMENTO
MACV_CUSTOCOMPRAUF;PZOPAGAMENTO
MACV_CUSTOCOMPRAUFVALIDA;PZOPAGAMENTO
MACV_CUSTOCOMPRAUFVALIDA_BKP;PZOPAGAMENTO
MACV_CUSTOCOMPRA_GERCOMP;PZOPAGAMENTO
MACV_CUSTORELTABCUSTOFORNEC;PZOPAGAMENTO
MACV_GERCOMPRA;PZOPAGAMENTO
MACV_GERCOMPRAITEMREC;PZOPAGAMENTO
MACV_GERCOMPRATRANSF;PZOPAGAMENTO
MACV_HISTORICOCUSTOSFAMILIA;PZOPAGAMENTO
MACV_PSITEMEXPEDIR;PZOPAGAMENTO
MACV_PSITEMRECEBER;PZOPAGAMENTO
MACX_CCUFHISTORICO;PZOPAGAMENTO
MACX_CUSTOCOMPRA_GERCOMP;PZOPAGAMENTO
MACX_CUSTODIVSEC;PZOPAGAMENTO
MACX_ITEMLIMFAMDIV;PZOPAGAMENTO
MAC_GERCOMPRAPREPED;PZOPAGAMENTO
MAFV_FORNECDIVISAO;PZOPAGAMENTO
MAFX_FORNECDIVPZOPAGTO;PZOPAGAMENTO
MAFX_FORNECREGIAOCOMPRA;PZOPAGAMENTO
MAFX_FORNECREGIAOCOMPRAEMP;PZOPAGAMENTO
MAF_FORNECDIVISAO;PZOPAGAMENTO
MAF_FORNECREGIAOCOMPRA;PZOPAGAMENTO
MAF_FORNECREGIAOCOMPRAEMP;PZOPAGAMENTO
MAP_CATEGORIACONDPAGTO;NROCONDPAGTO
MAXV_MSUPEDIDOSUPRIMEXP;PZOPAGAMENTO
MAXV_MSUPEDIDOSUPRIMNF;PZOPAGAMENTO
MAXV_MSUPEDIDOSUPRIMREC;PZOPAGAMENTO
MBIX_TABCESTOQUEPAGO;PZOPAGAMENTO
MBI_TABCESTOQUEPAGO;PZOPAGAMENTO
MFLV_BASENF;NROCONDPAGTO
MFLV_BASERFMESTRE;NROCONDPAGTO
MLFV_DEVNOTAFISCALFORN;NROCONDPAGTO
MLFV_DEVNOTAFISCALFORNRF;NROCONDPAGTO
MLFV_NFBASEFISCAL;NROCONDPAGTO
MLF_AUXNOTAFISCAL;NROCONDPAGTO
MLF_NOTAFISCAL;NROCONDPAGTO
MSUV_ADMESTQLOTE;PZOPAGAMENTO
MSUV_ADMESTQLOTEITEMREC;PZOPAGAMENTO
MSUV_BASEPSITEMRECEBER;PZOPAGAMENTO
MSUV_PSITEMRECEBER;PZOPAGAMENTO
MSUX_PEDIDO;PZOPAGAMENTO
MSUX_PEDIDOSAGE;PZOPAGAMENTO
MSUX_PEDIDOSUPRIM;PZOPAGAMENTO
MSU_ADMESTQPREITEM;PZOPAGAMENTO
MSU_ADMESTQPREPED;PZOPAGAMENTO
MSU_ADMESTQTRANSF;PZOPAGAMENTO
MSU_PEDIDOSAGE;PZOPAGAMENTO
MSU_PEDIDOSAGEINT;PZOPAGAMENTO
MSU_PEDIDOSUPRIM;PZOPAGAMENTO
SP_ATUALIZACONTACORRENTE_PARAM;PZOPAGAMENTO
SP_MONTADETALHE_PARAM;PZOPAGAMENTO
VPALM_NOTAFISCAL;NROCONDPAGTO
WL_LANCTO_200326;PZOPAGAMENTO
