SEQPONTOEXTRA;DESCRICAO;SEQPRODUTO;DESCCOMPLETA;NROEMPRESA;FANTASIA;ESTQMINIMO;ESTQMAXIMO;ESTQLOJA;DTAVIGENCIAINICIO;DTAVIGENCIAFIM;QTDDIASSUGESTAO;STATUS;SEQVIGENCIA;APELIDO
101;loja 8 apyce;37429;AGUA SANIT SUPREMA 5 L;8;FLORES DA CUNHA;56;64;0;2026-07-07-00.00.00.000000;2026-10-31-00.00.00.000000;;A;381;BATISTA
101;loja 8 apyce;413;AGUARD KIKANA PET 790ML;8;FLORES DA CUNHA;120;144;155;2026-06-10-00.00.00.000000;2026-10-31-00.00.00.000000;;A;161;NICOLAS
101;loja 8 apyce;17320;DET LIQ APYCE LIMP TOT 3L ROSA;8;FLORES DA CUNHA;120;208;192;2026-06-09-00.00.00.000000;2026-10-31-00.00.00.000000;;A;82;BATISTA
101;loja 8 apyce;17321;DET LIQ APYCE MULTIACAO 3L AZUL;8;FLORES DA CUNHA;120;208;139;2026-06-09-00.00.00.000000;2026-10-31-00.00.00.000000;;A;81;BATISTA
101;loja 8 apyce;6725;LAVA ROUPA OMO 7L LAVAGEM PERFEITA;8;FLORES DA CUNHA;90;112;100;2026-07-07-00.00.00.000000;2026-10-31-00.00.00.000000;;A;382;BATISTA
121;Pontas fixas;36;AGUA MIN CRYSTAL PET 500ML C GAS;3;GENERAL CANABARRO;1008;1308;288;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;303;NICOLAS
121;Pontas fixas;43;AGUA MIN CRYSTAL PET 500ML S GAS;3;GENERAL CANABARRO;1008;1308;1279;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;304;NICOLAS
121;Pontas fixas;39233;AGUA MIN TABYS 500ML C GAS;2;FRANCISCO ETCHEPARE;4032;5232;5113;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;493;NICOLAS
121;Pontas fixas;39233;AGUA MIN TABYS 500ML C GAS;3;GENERAL CANABARRO;8064;10476;10289;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;492;NICOLAS
121;Pontas fixas;39233;AGUA MIN TABYS 500ML C GAS;4;BENTO MARTINS;2016;2616;2528;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;491;NICOLAS
121;Pontas fixas;39233;AGUA MIN TABYS 500ML C GAS;5;PINHEIRO MACHADO;2016;2616;2458;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;490;NICOLAS
