"Código Produto";"Produto";"CGO";"Quantidade";"Valor Bruto";"Valor Liquido"
"409";"A EXCLUIR ITENS FARDO ACAI COCO";"800";"59,000";"618,91";"532,91"
"450";"A EXCLUIR ITENS FARDO COLA";"800";"6,000";"44,94";"44,94"
"449";"A EXCLUIR ITENS FARDO COLA CAFE";"800";"2,000";"14,98";"14,98"
"414";"A EXCLUIR ITENS FARDO GUAR MARACUJA";"800";"39,000";"409,11";"402,11"
"488";"A EXCLUIR ITENS FARDO MELANCIA S A";"800";"7,000";"38,43";"38,43"
"33971";"A EXCLUIR ITENS FARDO RIO PUNCH";"800";"236,000";"2.205,24";"2.124,84"
"10480";"ABACATE AVOCADO KG";"800";"1,202";"24,99";"24,99"
"10479";"ABACATE KG";"800";"5.172,860";"35.282,57";"35.263,02"
"10481";"ABACAXI CORTADO KG";"800";"3,873";"45,47";"45,47"
"12134";"ABACAXI MARIZA FOODS 400G RODELAS";"800";"132,000";"2.955,48";"2.942,87"
"2251";"ABACAXI ODERICH 400G RODELAS";"800";"33,000";"1.016,07";"1.016,07"
"38532";"ABACAXI PICADO KG";"800";"1,894";"56,63";"56,63"
"12136";"ABACAXI TRIANGULO RODELA 400G";"800";"44,000";"880,47";"880,47"
"10482";"ABACAXI UN PEROLA";"800";"6.958,000";"50.015,42";"49.935,59"
"10487";"ABOBORA DOCE CORTADA";"800";"150,940";"1.370,26";"1.370,26"
"10486";"ABOBORA DOCE KG";"800";"409,656";"3.103,98";"3.103,98"
"10488";"ABOBORA GOMO COMUM KG";"800";"651,375";"2.448,62";"2.448,62"
"10489";"ABOBORA GOMO CORTADA";"800";"112,946";"420,09";"420,09"
"10492";"ABOBORA ITALIA CONSERVA";"800";"0,932";"34,01";"34,01"
"10490";"ABOBORA ITALIA KG";"800";"3.660,740";"17.310,05";"16.780,39"
"10493";"ABOBORA TRONCO KG";"800";"718,761";"5.932,61";"5.932,10"
"12142";"ABR GFA C SACA ROLHA EM CASA TEM";"800";"13,000";"103,87";"103,87"
"12143";"ABR GFA GOLD";"800";"2,000";"9,98";"9,98"
"12146";"ABR GFA LATA  INOX ORIG";"800";"5,000";"14,95";"14,95"
"12148";"ABR GFA LATA SILVER";"800";"1,000";"3,99";"3,99"
"12153";"ABR SACA ROLHA VINHO METAL";"800";"7,000";"83,93";"83,93"
"12154";"ABRAC NYLON BCO 2,5X100MM C/100";"800";"1,000";"4,99";"4,99"
"12155";"ABRAC NYLON BCO 2,5X150MM C/80";"800";"1,000";"4,99";"4,99"
"12156";"ABRAC NYLON BCO 2,5X200MM C/60";"800";"5,000";"24,95";"24,95"
"12158";"ABRAC P MANGUEIRA GAS ";"800";"8,000";"80,43";"80,43"
"35188";"ABRIDOR GARRAFA 14CM C SACA ROLHA";"800";"1,000";"16,99";"16,99"
"38099";"ABRIDOR GARRAFA PLAST METAL 5PCS";"800";"42,000";"839,58";"839,58"
"36906";"ABRIDOR LATA GARRAFA CASA ONZE INOX";"800";"1,000";"16,99";"16,99"
"37563";"ABRIDOR LT E GFA INOX 9CM";"800";"21,000";"83,79";"83,79"
"3880";"ABS ALWAYS 32UN BASICO M SECA C ABAS";"800";"39,000";"895,41";"895,41"
"3881";"ABS ALWAYS 32UN BASICO M SUAVE C ABAS";"800";"95,000";"2.193,65";"2.193,65"
"3882";"ABS ALWAYS 8UN BASICO P SECA C ABAS";"800";"145,000";"983,27";"983,27"
"3883";"ABS ALWAYS 8UN BASICO P SUAVE C ABAS";"800";"166,000";"1.124,18";"1.124,18"
"12160";"ABS ALWAYS SUP PROT SECA C AB C 16";"800";"56,000";"745,64";"745,64"
"3885";"ABS C ABAS ALWAYS 16UN BASICA SUAVE";"800";"44,000";"574,29";"574,29"
"3886";"ABS C ABAS ALWAYS 8UN NOITE SUAV XG";"800";"30,000";"542,88";"542,88"
"3887";"ABS C ABAS ALWAYS 8UN NOTURNO SUAVE";"800";"25,000";"345,21";"345,21"
"3888";"ABS C ABAS ALWAYS LV PG 32UN NOTUR";"800";"24,000";"1.146,43";"1.146,43"
"3890";"ABS C ABAS ALWAYS LV16PG14 AC S NOT";"800";"52,000";"1.313,92";"1.313,92"
"3889";"ABS C ABAS ALWAYS LV16PG14 NOT SUAV";"800";"34,000";"867,91";"867,91"
"3891";"ABS C ABAS ALWAYS LV32PG26 NOT SUAV";"800";"12,000";"587,88";"587,88"
"3892";"ABS C ABAS ALWAYS LV8PG7 PT T SE NO";"800";"9,000";"126,82";"126,82"
"3893";"ABS C ABAS DIA NOITE 32 UN SUAVE";"800";"183,000";"5.048,97";"5.048,97"
"3895";"ABS C ABAS INTIMUS 16UN NOTURNO SUAVE";"800";"66,000";"1.589,94";"1.589,94"
"3898";"ABS C ABAS INTIMUS 8UN NORMAL SECA";"800";"170,000";"1.628,60";"1.628,60"
"3900";"ABS C ABAS INTIMUS 8UN NORMAL SUAVE";"800";"110,000";"1.033,50";"1.033,50"
"3897";"ABS C ABAS INTIMUS 8UN NOTURNO SECA";"800";"1,000";"13,99";"13,99"
"3899";"ABS C ABAS INTIMUS 8UN NOTURNO SUAVE";"800";"14,000";"195,86";"195,86"
"3901";"ABS C ABAS INTIMUS LV16PG14 SECA";"800";"77,000";"1.061,83";"1.061,83"
"3902";"ABS C ABAS INTIMUS LV16PG14 SUAVE";"800";"108,000";"1.489,32";"1.489,32"
"3903";"ABS C ABAS MILI DIA NOITE C 16 UN SUAVE";"800";"232,000";"3.083,28";"3.083,28"
"3905";"ABS C ABAS S LIVRE 32UN ADAPT SUAVE";"800";"179,000";"3.757,21";"3.445,20"
"3906";"ABS C ABAS S LIVRE 8UN ADAP PLUS SV";"800";"70,000";"566,30";"559,80"
"3907";"ABS C ABAS S LIVRE 8UN NOTURNO SV";"800";"46,000";"625,14";"625,14"
"3908";"ABS C ABAS S LIVRE 8UN SV ADAPT";"800";"128,000";"792,32";"792,32"
"3909";"ABS C ABAS S LIVRE L16PG14 ADAPT";"800";"363,000";"4.134,57";"4.053,37"
"3910";"ABS C ABAS S LIVRE LV PG 32UN NOTUR";"800";"27,000";"1.171,53";"1.171,53"
"3911";"ABS C ABAS S LIVRE LV8PG7 AD SUAVE";"800";"1.192,000";"5.232,88";"5.232,38"
"8784";"ABS CAREFREE NEUTRALIZE 15UN";"800";"24,000";"283,56";"283,56"
"12162";"ABS CAREFREE PROT DIA S PERF C 15";"800";"15,000";"180,36";"180,36"
"12164";"ABS CAREFREE PROT S PERF C 40";"800";"6,000";"117,00";"117,00"
"12178";"ABS COTTONBABY SUAVE C ABAS C 8";"800";"268,000";"1.256,92";"1.256,92"
"12177";"ABS COTTONBABY SUAVE NOT C ABA C 8 C ABAS";"800";"68,000";"563,72";"562,92"
"12179";"ABS COTTONBABY SUAVE S ABAS C 8";"800";"227,000";"1.041,93";"1.041,93"
"12168";"ABS DEFINITY C ABAS C 8";"800";"1.572,000";"3.914,28";"3.914,28"
"12169";"ABS DEFINITY S ABAS C 8";"800";"424,000";"1.121,84";"1.121,84"
"12166";"ABS DIARIO COTTONBABY C 15 S PERF";"800";"215,000";"1.030,97";"1.030,97"
"12173";"ABS GERIAMAX POS PARTO OPERAT C 20";"800";"139,000";"2.634,97";"2.626,97"
"3913";"ABS INTERNO INTIMUS 8UN MD MODERADO";"800";"4,000";"75,96";"75,96"
"3914";"ABS INTERNO INTIMUS 8UN SUPER INTENSO";"800";"20,000";"384,35";"384,35"
"12174";"ABS INTERNO INTIMUS MINI L16P15";"800";"8,000";"247,47";"247,47"
"12175";"ABS INTERNO INTIMUS SUPER L16P15";"800";"30,000";"914,70";"914,70"
"3916";"ABS INTERNO OB LV10 PG8 MEDIO";"800";"32,000";"550,08";"545,88"
"3917";"ABS INTERNO OB LV10 PG8 SUPER";"800";"36,000";"618,84";"597,84"
"33228";"ABS INTERNO OB PROMO C 16 MEDIO";"800";"2,000";"51,18";"51,18"
"33229";"ABS INTERNO OB PROMO C 16 SUPER";"800";"1,000";"25,59";"25,59"
"8787";"ABS INTIMUS INTERNO MD LV16 PG15UN";"800";"16,000";"497,96";"497,96"
"8789";"ABS MILI COB C ABAS SV 8UN";"800";"1.376,000";"6.683,14";"6.377,64"
"33363";"ABS MILI CONFORT TOTAL C ABAS C 32";"800";"37,000";"802,53";"798,95"
"12180";"ABS MILI CONFORTO TOT C ABAS 8UN";"800";"282,000";"1.660,98";"1.660,98"
"33366";"ABS MILI DUO C ABAS C8";"800";"42,000";"364,98";"364,98"
"12181";"ABS MILI MULHER CONFORTO TOT C ABAS C 16UN";"800";"213,000";"2.404,77";"2.404,77"
"33364";"ABS MILI NOT DISCRETO C ABAS";"800";"93,000";"1.384,77";"1.384,77"
"33365";"ABS MILI NOT ULTRA C ABAS C 8";"800";"219,000";"2.034,51";"2.033,91"
"8791";"ABS MILI NOTURNO C ABAS 8UN";"800";"593,000";"5.255,07";"5.255,07"
"8792";"ABS MILI NOTURNO SAUVE C ABAS 32UN";"800";"167,000";"5.466,73";"5.466,73"
"3904";"ABS MILI PROT TOTAL 16UN C ABAS SUAVE";"800";"742,000";"7.334,18";"7.334,18"
"12183";"ABS MILI SUAVE PROT TOT C ABAS C 32";"800";"259,000";"4.905,81";"4.905,81"
"35584";"ABS PARTO OPERATORIO MAX POS C 20";"800";"20,000";"291,80";"291,80"
"35645";"ABS PARTO OPERATORIO MAX POS C10";"800";"72,000";"553,68";"553,68"
"3918";"ABS S ABAS INTIMUS 8UN NORMAL SECA";"800";"72,000";"683,38";"683,38"
"3919";"ABS S ABAS INTIMUS 8UN NORMAL SUAVE";"800";"88,000";"822,52";"822,52"
"3920";"ABS S ABAS S LIVRE 8UN ADAPT SV";"800";"107,000";"662,33";"662,33"
"8793";"ABS SEMPRE LIVRE NOT C ABAS L16P14";"800";"39,000";"1.001,91";"1.001,91"
"12188";"ABS SEMPRE LIVRE NOT SECA C/ABAS C/8";"800";"16,000";"234,80";"234,80"
"10495";"ACELGA";"800";"10,000";"29,80";"29,80"
"10512";"ACEM E PESCOCO C OSSO BOV RESF KG AGULHA BDJ";"800";"2.772,471";"74.050,23";"74.030,57"
"10513";"ACEM E PESCOCO C OSSO BOV RESF KG AGULHA C OSSO";"800";"22.699,604";"579.683,26";"579.514,40"
"10514";"ACEM E PESCOCO C OSSO BOV RESF KG AGULHA CENTR BD";"800";"2.741,572";"101.069,04";"101.011,85"
"10496";"ACEM FRIBOI PORC KG";"800";"424,734";"16.157,39";"13.559,74"
"10497";"ACEM FRIBOI PORC KG BDJ";"800";"23,024";"766,36";"766,36"
"35442";"ACEM MATURATTA SHORT RIB CONG KG";"800";"1,536";"92,15";"92,15"
"25556";"ACEM RESERVA S OSSO KG BDJ";"800";"290,392";"12.324,35";"11.757,49"
"10716";"ACEM RESERVA S OSSO KG BIFE CACAROLA";"800";"8,994";"422,61";"422,61"
"34528";"ACEM RESERVA S OSSO KG CARNE CACAROLA";"800";"1,058";"51,83";"51,83"
"10498";"ACEM RESERVA S OSSO KG CUBOS";"800";"6,546";"314,14";"314,14"
"10500";"ACEM RESERVA S OSSO KG MOIDO";"800";"2.168,623";"89.794,28";"85.714,62"
"10501";"ACEM RESERVA S OSSO KG PEDACO";"848";"1.468,000";"46.212,64";"46.212,64"
"10501";"ACEM RESERVA S OSSO KG PEDACO";"800";"560,008";"25.812,72";"20.444,90"
"12192";"ACENDEDOR BIC MEGA LIGHTER";"800";"3,000";"86,37";"86,37"
"33645";"ACENDEDOR FOGAO MET PLAS 22CM A PEDRA";"800";"1,000";"9,99";"9,99"
"12193";"ACENDEDOR HANDY BIC";"800";"12,000";"261,48";"261,48"
"12194";"ACENDEDOR P FOGAO FLAME PREMIUM ";"800";"12,000";"155,88";"155,88"
"12195";"ACENDEDOR PARANA BASTAO ECOLOGICO";"800";"193,000";"1.464,87";"1.462,87"
"8799";"ACENDEDOR PARANA GEL 480G ";"800";"243,000";"2.670,57";"2.670,57"
