CODIGO_PRODUTO;PRODUTO;CGO;QUANTIDADE;VALOR_BRUTO;VALOR_LIQUIDO
3;REFRE PO TANG 18G LARANJA;800;5882;8175,98;8175,98
4;REFRE PO TANG 18G ABACAXI;800;6639;9228,21;9228,21
5;REFRE PO TANG 18G UVA;800;2863;3979,57;3979,57
10;REFRIG COCA COLA PET 2L;800;36009;375402,51;375402,51
12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;800;321;1282,39;1282,39
13;AGUA MIN CRYSTAL PET 1 5L C GAS;800;789;3410,55;3410,55
14;AGUA SABORIZ H2OH PET 1 5L LIMAO;800;278;2409,08;2409,08
15;AGUA SABORIZ H2OH PET 1 5L LIMONETO;800;263;2254,52;2254,52
16;AGUA MIN CRYSTAL PET 1 5L S GAS;800;1033;4611,73;4611,73
17;REFRE PO TRINK 15G ABACAXI HORTELA;800;4226;4107,74;4107,74
18;AGUA TONICA FRUKI PET 1 5L;800;174;1010,26;1010,26
19;REFRE PO TRINK 15G ABACAXI;800;7933;7748,47;7748,47
20;REFRE PO TRINK 15G GUARANA;800;4186;4083,54;4083,54
22;REFRE PO TRINK 15G LARANJA;800;10015;9718,85;9718,85
23;REFRE PO TRINK 15G LARANJA BAHIA;800;6580;6413,2;6413,2
24;REFRE PO TRINK 15G LIMAO;800;3048;2958,92;2958,92
25;AGUA MIN DA PEDRA PET 2L C GAS;800;385;2125,05;2125,05
26;REFRE PO TRINK 15G LIMONADA SUICA;800;2783;2711,17;2711,17
27;REFRE PO TRINK 15G MANGA;800;4822;4727,58;4727,58
28;REFRE PO TRINK 15G MARACUJA;800;2816;2754,84;2754,84
29;REFRE PO TRINK 15G MORANGO;800;5238;5088,02;5088,02
30;REFRE PO TRINK 15G TANGERINA;800;3234;3185,06;3185,06
31;REFRE PO TRINK 15G UVA;800;6738;6590,42;6590,42
32;AGUA MIN SARANDI PET 2L C GAS;800;757;3629,41;3629,41
33;AGUA MIN SARANDI PET 2L S GAS;800;645;2896,31;2896,31
34;AGUA MIN DA PEDRA PET 500ML C GAS;800;5017;8993,23;8993,23
35;AGUA MIN DA PEDRA PET 500ML S GAS;800;3638;6151,22;6151,22
36;AGUA MIN CRYSTAL PET 500ML C GAS;800;6331;12557,99;12557,99
37;REFRE PO TANG 18G GOIABA;800;1065;1480,35;1480,35
38;REFRE PO TANG 18G GUARANA;800;1573;2186,47;2186,47
39;REFRE PO TANG 18G LARANJA DOCINHA;800;4078;5668,42;5668,42
40;REFRE PO TANG 18G LARANJA MAMAO;800;2305;3203,95;3203,95
41;REFRE PO TANG 18G LIMAO;800;2434;3383,26;3383,26
42;REFRE PO TANG 18G MANGA;800;1367;1900,13;1900,13
43;AGUA MIN CRYSTAL PET 500ML S GAS;800;6222;11709,88;11709,88
44;REFRE PO TANG 18G MARACUJA;800;1400;1946;1946
45;REFRE PO TANG 18G MORANGO;800;1953;2714,67;2714,67
46;REFRE PO TANG 18G TANGERINA;800;1319;1833,41;1833,41
47;REFRE PO TANG 18G UVA INTENSA;800;1327;1844,53;1844,53
48;AGUA MIN FLORESTA PET 500ML C GAS;800;131156;129676,06;129676,06
49;AGUA MIN FLORESTA PET 500ML S GAS;800;68030;64877,3;64877,3
50;AGUA MIN DA PEDRA PET 5L S GAS;800;1237;9644,23;9644,23
51;AGUA MIN CRYSTAL PET 5L S GAS;800;516;4822,44;4822,44
52;AGUA MIN FLORESTA PET 5L S GAS;800;3309;19264,41;19264,41
53;AGUA MIN SARANDI 5L S GAS;800;705;4253,25;4253,25
54;AGUA MIN DA PEDRA LT 350ML ABACAXI E HORTE;800;87;261,63;261,63
55;AGUA MIN DA PEDRA LT 350ML FTAS VRM;800;66;199,44;199,44
56;AGUA MIN DA PEDRA LT 350ML LIM E ALE;800;84;253,48;253,48
57;AGUA GASEIFICADA CRYSTAL PET 510ML SPARK;800;100;323,54;323,54
58;KEEP COOLER CLASSIC COLADA 275ML;800;7;62,93;62,93
59;AGUA GASEIFICADA CRYSTAL PET 510ML FRUTAS VERMELHA;800;307;995,29;995,29
60;AGUA GASEIFICADA CRYSTAL PET 510ML LIMAO;800;356;1153,64;1153,64
61;KEEP COOLER CLASSIC MORANGO 275ML;800;16;147,52;147,52
62;AGUA GASEIFICADA CRYSTAL PET 510ML MELANCIA;800;163;528,17;528,17
65;KEEP COOLER CLASSIC PESSEGO 275ML;800;40;361,44;361,44
66;AGUA MIN DA PEDRA PET 350ML C GAS;800;202;364,88;364,88
67;AGUA MIN DA PEDRA PET 350ML S GAS;800;151;255,19;255,19
68;AGUA MIN FLORESTA ATIVA SQ 710ML S GAS;800;60;348,2;348,2
69;KEEP COOLER CLASSIC TANGERINA 275ML;800;7;62,93;62,93
70;KEEP COOLER CLASSIC UVA 275ML;800;34;309,8;309,8
73;AGUA MIN SARANDI FITTING PET 510ML S GAS;800;67;259,13;259,13
74;AGUA MIN SARANDI CP 200ML S GAS;800;257;229,99;229,99
75;REFRE PO CLIGHT 8G ABACAXI;800;735;1536,15;1536,15
76;REFRE PO CLIGHT 8G LARANJA;800;835;1745,15;1745,15
77;REFRE PO CLIGHT 8G LIMONADA;800;679;1419,11;1419,11
78;AGUA SABORIZ H2OH PET 500ML LIMAO;800;373;1830,89;1830,89
80;AGUA TONICA ANTARCTICA LT 350ML ZR;800;140;531,2;531,2
81;AGUA TONICA ANTARCTICA LT 350ML;800;326;1236,74;1236,74
82;AGUA TONICA ANTARTICA PET 1L;800;108;844,92;844,92
83;AGUA TONICA ANTARCTICA PET 1L ZR;800;159;1250,21;1250,21
84;AGUA TONICA FRUKI LT 350ML;800;103;308,13;308,13
85;COOLER CANCAO 750ML ABACAXI;800;39;677,1;677,1
86;COOLER CANCAO 750ML MORANGO;800;48;822,2;822,2
87;COOLER CANCAO 750ML PESSEGO;800;22;378,8;378,8
88;AGUA TONICA SARANDI LT 350ML;800;36;107,96;107,96
89;REFRE PO FRISCO 18G LARANJA;800;1778;1582,42;1582,42
90;AGUA TONICA SCHWEPPES LT 350ML SA;800;149;495,01;495,01
91;REFRE PO FRISCO 18G LIMAO;800;375;333,75;333,75
92;REFRE PO FRISCO 18G MARACUJA C IOG;800;267;237,63;237,63
93;REFRE PO FRISCO 18G MORANGO C IOG;800;196;174,44;174,44
94;CERV AMSTEL 1L;800;100;799;799
95;REFRE PO FRISCO 18G MORANGO;800;622;553,58;553,58
96;REFRE PO CLIGHT 8G MARACUJA;800;536;1120,24;1120,24
97;REFRE PO CLIGHT 8G MORANGO;800;333;695,97;695,97
98;REFRE PO CLIGHT 8G TANGERINA;800;55;114,95;114,95
99;REFRE PO CLIGHT 8G UVA;800;449;938,41;938,41
100;REFRE PO FRISCO 18G TANGERINA;800;732;651,48;651,48
101;REFRE PO FRISCO 18G UVA;800;944;840,16;840,16
102;CERV ANTARCTICA SUBZERO GF 1L;800;223;1568,17;1568,17
103;REFRE PO FRISCO 18G ABACAXI;800;531;472,59;472,59
105;REFRE PO FRISCO 18G GUARANA;800;467;415,63;415,63
106;REFRE PO FRISCO 18G LARANJA C ACER;800;919;817,91;817,91
107;CERV BADEN GOLDEN GF 600ML GOLDEN;800;11;76,89;76,89
109;CERV BRAHMA CHOPP GF 1L CHOPP;800;1513;12131,35;12131,35
110;CERV BUDWEISER GF 990ML RETORNAVEL;800;378;3595,32;3595,32
111;CERV GLACIAL PILSEN GF 1L;800;57;398,43;398,43
113;CERV ORIGINAL1L RETORNAVEL;800;172;1890,28;1890,28
114;CERV POLAR EXPORT GF 1L RETORNAVEL;800;211;1603,31;1603,31
115;CERV SCHIN 1L RETORNAVEL;800;422;2654,38;2654,38
116;CERV SKOL 1L;800;1868;15033,48;15033,48
118;REFRE PO FRISCO 18G MANGA;800;655;582,95;582,95
119;REFRE PO FRISCO 18G MARACUJA;800;441;392,49;392,49
120;REFRE PO FRISCO 18G SALADA DE FRUTA;800;518;461,02;461,02
121;CERV BRAHMA CHOPP GF 300ML RETORNAVEL;800;653;1730,45;1730,45
123;CERV BUDWEISER GF 300ML RETORNAVEL;800;343;1027,77;1027,77
126;CERV POLAR PILSEN GF 300ML RETORNAVEL;800;26;72,54;72,54
127;VH 120 CABERNET SV 750ML;800;9;517,41;517,41
128;CERV SKOL PILSEN GF 300ML RETORNAVEL;800;1463;3798,87;3798,87
130;VH 3 MEDALLAS BC SV 750ML;800;8;339,92;339,92
131;VH 3 MEDALLAS CABERNET 750ML;800;3;127,47;127,47
136;CERV HEINEKEN PILSEN GF 600ML;800;268;2497,32;2497,32
137;VH ARBO ASSEMBLAGE SC 750ML;800;8;293,65;293,65
138;VH ARBO CABERNET 750ML;800;15;541,76;541,76
140;CERV SPATEN ONE WAY GF 600ML;800;58;568,32;568,32
141;VH ARBO MOSCATO SC 750ML;800;9;325,82;325,82
142;CERV STELLA ONE WAY GF 600ML;800;144;1515,89;1515,89
143;VH ARBO RIESLING SC 750ML;800;4;145,87;145,87
144;CERV AMSTEL LAGER LT 473ML;800;12114;59249,3;59249,3
145;CERV ANTARCTICA SUBZERO LT 473ML;800;12134;55227,22;55227,22
146;VH ARBO MERLOT 750ML;800;14;509,59;509,59
147;CERV ANTARCTICA PILSEN LT 473ML;800;8903;40740,21;40740,21
148;VH ARBO MARSELAN SC 750ML;800;5;181,86;181,86
149;CERV BELLAVISTA LAGER LT 473ML;800;82;368,18;368,18
150;VH ARBO TANNAT SC 750ML;800;13;469,78;469,78
151;CERV BOHEMIA LT 473ML;800;1635;7841,25;7841,25
152;CERV BRAHMA CHOPP LT 473ML;800;38488;183963,92;183963,92
154;CERV BRAHMA DUPLO MALTE LT 473ML;800;1404;7015,24;7015,24
155;CERV BRAHMA MALZBIER LT 350ML;800;578;3062,1;3062,1
156;CERV BUDWEISER LT 473ML;800;14326;78748,34;78748,34
157;VH AROMO CARMENERE 1L;800;1;32,5;32,5
158;CERV BUDWEISER ZERO LT SLEEK 350ML;800;214;919,82;919,82
159;CERV CORONA EXTRA LT 473ML;800;861;5819,41;5819,41
160;VH AROMO MERLOT 1L;800;1;32,5;32,5
