CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;Status;capacidade_gondola
3;REFRE PO TANG 18G LARANJA;180;1;108;288;90;0,94;180;360;PISO_60_EMBALAGEM;SEM_CAPACIDADE_ESTOQUE_SEGURANCA;Ativo;
3;REFRE PO TANG 18G LARANJA;180;2;280;460;90;34,91;360;720;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;400,0
3;REFRE PO TANG 18G LARANJA;180;3;508;868;90;63,42;540;900;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAP_IGNORADA_MINIMO_ALTO_SEMELHANCA_ESTOQUE_SEGURANCA;Ativo;
3;REFRE PO TANG 18G LARANJA;180;4;108;288;90;8,73;208;388;PISO_60_EMBALAGEM;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
3;REFRE PO TANG 18G LARANJA;180;5;136;316;90;16,9;208;388;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
3;REFRE PO TANG 18G LARANJA;180;6;128;308;90;15,84;180;540;PISO_60_EMBALAGEM_PAR_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
3;REFRE PO TANG 18G LARANJA;180;7;192;372;90;23,94;360;540;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
3;REFRE PO TANG 18G LARANJA;180;8;108;288;90;5,94;208;388;PISO_60_EMBALAGEM;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
3;REFRE PO TANG 18G LARANJA;180;11;220;400;90;23,71;360;540;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_DIRETA;Ativo;400,0
3;REFRE PO TANG 18G LARANJA;180;12;220;400;90;20,27;360;540;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_DIRETA;Ativo;400,0
3;REFRE PO TANG 18G LARANJA;180;14;108;288;90;2,54;208;388;PISO_60_EMBALAGEM;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
3;REFRE PO TANG 18G LARANJA;180;17;108;288;90;12,28;360;720;PISO_60_EMBALAGEM;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
3;REFRE PO TANG 18G LARANJA;180;18;320;500;90;15,89;360;540;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_DIRETA;Ativo;500,0
4;REFRE PO TANG 18G ABACAXI;180;1;108;288;90;0,01;180;360;PISO_60_EMBALAGEM;SEM_CAPACIDADE_ESTOQUE_SEGURANCA;Ativo;
4;REFRE PO TANG 18G ABACAXI;180;2;234;414;90;29,08;540;720;PISO_60_EMBALAGEM_PAR_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;400,0
4;REFRE PO TANG 18G ABACAXI;180;3;520;880;90;64,94;720;900;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAP_IGNORADA_MINIMO_ALTO_SEMELHANCA_ESTOQUE_SEGURANCA;Ativo;
4;REFRE PO TANG 18G ABACAXI;180;4;172;352;90;21,27;216;396;PISO_60_EMBALAGEM_PAR_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
4;REFRE PO TANG 18G ABACAXI;180;5;154;334;90;19,01;360;540;PISO_60_EMBALAGEM_PAR_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
4;REFRE PO TANG 18G ABACAXI;180;6;186;366;90;23,11;180;540;PISO_60_EMBALAGEM_PAR_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
4;REFRE PO TANG 18G ABACAXI;180;7;362;722;90;45,11;540;720;PISO_60_EMBALAGEM_PAR_VENDA_8_DIAS;CAP_IGNORADA_MINIMO_ALTO_ESTOQUE_SEGURANCA;Ativo;200,0
4;REFRE PO TANG 18G ABACAXI;180;8;108;288;90;8,41;216;396;PISO_60_EMBALAGEM;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
4;REFRE PO TANG 18G ABACAXI;180;11;250;430;90;31,11;360;540;PISO_60_EMBALAGEM_PAR_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;400,0
4;REFRE PO TANG 18G ABACAXI;180;12;220;400;90;27,46;360;540;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_DIRETA;Ativo;400,0
4;REFRE PO TANG 18G ABACAXI;180;13;112;292;90;13,88;180;360;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
4;REFRE PO TANG 18G ABACAXI;180;14;108;288;90;10,3;216;396;PISO_60_EMBALAGEM;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
4;REFRE PO TANG 18G ABACAXI;180;17;140;320;90;17,43;360;540;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_ESTOURADA_MIN_ALTO;Ativo;200,0
4;REFRE PO TANG 18G ABACAXI;180;18;220;400;90;14,06;360;540;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_DIRETA;Ativo;400,0
5;REFRE PO TANG 18G UVA;180;1;108;288;90;0,08;136;316;PISO_60_EMBALAGEM;SEM_CAPACIDADE_ESTOQUE_SEGURANCA;Ativo;
5;REFRE PO TANG 18G UVA;180;2;220;400;90;13,27;180;360;PISO_60_EMBALAGEM_VENDA_8_DIAS;CAPACIDADE_DIRETA;Ativo;400,0
