CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA
3872;CERV STELLA ARTOIS LT 473ML P GOLD;12;3;188;259;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;180;240;60;46,57
223;CERV THEREZOPOLIS LAGER LT 473ML GOLD;12;3;206;277;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;180;252;60;51,18
886;REFRIG ANTARCTICA GUAR LT 350ML ZR;12;3;82;118;VENDA_4_DIAS;ALTO_VOLUME_35;60;84;60;20,28
33256;REFRIG CHARRUA PET 200ML GUARANA;12;3;70;105;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;60;84;60;17,17
34308;REFRIG COCA COLA PET 1L ZERO;6;3;204;275;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;120;144;60;50,62
780;REFRIG SPRITE PET 200ML;12;3;156;215;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;72;96;60;38,72
35161;CERV SKOL BEATS LN 269ML GREEN MIX;24;5;16;39;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;6;30;60;0,15
223;CERV THEREZOPOLIS LAGER LT 473ML GOLD;12;6;56;80;VENDA_4_DIAS;ALTO_VOLUME_35;24;36;60;13,98
35161;CERV SKOL BEATS LN 269ML GREEN MIX;24;7;16;39;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;6;30;60;0,45
74;AGUA MIN SARANDI CP 200ML S GAS;48;8;112;159;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;48;96;60;27,73
35161;CERV SKOL BEATS LN 269ML GREEN MIX;24;8;16;39;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;6;30;60;0
37263;ENERG RED BULL LT 250ML NECTARINA S A;24;8;16;39;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;8;32;60;0
34306;REFRIG COCA COLA PET 1L;6;11;130;177;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;72;102;60;32,07
37262;ENERG RED BULL LT 250ML NECTARINA;24;12;16;39;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;8;32;60;0,03
34306;REFRIG COCA COLA PET 1L;6;12;70;100;VENDA_4_DIAS;ALTO_VOLUME_35;42;60;60;17,42
794;REFRIG COCA COLA E SPRITE 2L;2;13;12;15;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;6;8;60;2,53
570;REPOSITOR POWERADE MIX 500ML;6;13;24;36;VENDA_4_DIAS;ALTO_VOLUME_35;18;24;60;5,78
3872;CERV STELLA ARTOIS LT 473ML P GOLD;12;14;38;61;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;30;42;60;9,07
794;REFRIG COCA COLA E SPRITE 2L;2;14;12;15;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;6;8;60;2,55
34308;REFRIG COCA COLA PET 1L ZERO;6;14;70;100;VENDA_4_DIAS;ALTO_VOLUME_35;52;70;60;17,45
549;BITTER SANGALO 1L;1;15;78;130;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;60;108;60;0
282;CERV MICHELOB ULTRA LN 330ML;24;15;156;363;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;72;144;60;0
223;CERV THEREZOPOLIS LAGER LT 473ML GOLD;12;15;512;783;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;480;648;60;0
479;ENERG BALY LT 250ML TROPICAL;6;15;52;130;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;42;84;60;0
415;ENERG ELEV PET 2L MACA VERDE;6;15;54;131;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;30;60;60;0
390;ENERG MONSTER LT 473ML GREEN ZERO;6;15;244;372;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;180;240;60;0
