CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;Status;QUANTIDADE_DISPONIVEL
4340;BANHA PAMPLONA PCT 1KG;1;1;6;10;90;0,0;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;0
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;2;6;10;90;0,94;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;201
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;3;24;25;90;5,93;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;48
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;4;11;12;90;2,58;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;42
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;5;6;10;90;0,0;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;4
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;6;6;10;90;0,11;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;14
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;7;6;10;90;0,0;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;1
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;8;6;10;90;0,39;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;85
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;11;6;10;90;1,1;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;189
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;12;6;10;90;1,19;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;133
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;13;6;10;90;1,33;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;6
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;14;8;9;90;1,98;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;230
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;17;7;8;90;1,53;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;102
4350;BATATA CONG BEM BRASIL 400G CARINHAS;1;18;11;12;90;2,6;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;31
4355;BATATA P FRITA SADIA PALITO 400G;1;2;6;10;90;1,17;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;68
4355;BATATA P FRITA SADIA PALITO 400G;1;3;25;26;90;6,23;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;-22
4355;BATATA P FRITA SADIA PALITO 400G;1;6;6;10;90;1,43;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;75
4355;BATATA P FRITA SADIA PALITO 400G;1;8;6;10;90;0,1;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;16
4355;BATATA P FRITA SADIA PALITO 400G;1;11;6;10;90;0,92;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;25
4355;BATATA P FRITA SADIA PALITO 400G;1;12;6;10;90;1,12;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;59
4355;BATATA P FRITA SADIA PALITO 400G;1;13;8;9;90;1,94;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;75
4355;BATATA P FRITA SADIA PALITO 400G;1;14;9;10;90;2,24;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;77
4355;BATATA P FRITA SADIA PALITO 400G;1;17;7;8;90;1,62;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;55
4355;BATATA P FRITA SADIA PALITO 400G;1;18;13;14;90;3,21;0;0;UNITARIO_PISO_6;UMA_CAIXA_ACIMA;Ativo;63
4361;BEB LACT ELEGE 1 150KG MORANGO;1;1;6;10;90;0,07;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;9
4361;BEB LACT ELEGE 1 150KG MORANGO;1;2;6;10;90;0,69;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;2
4361;BEB LACT ELEGE 1 150KG MORANGO;1;3;6;10;90;1,16;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;26
4361;BEB LACT ELEGE 1 150KG MORANGO;1;4;6;10;90;0,18;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;2
4361;BEB LACT ELEGE 1 150KG MORANGO;1;5;6;10;90;0,31;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;-6
4361;BEB LACT ELEGE 1 150KG MORANGO;1;6;6;10;90;0,33;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;9
4361;BEB LACT ELEGE 1 150KG MORANGO;1;7;6;10;90;0,14;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;3
4361;BEB LACT ELEGE 1 150KG MORANGO;1;8;6;10;90;0,12;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;7
4361;BEB LACT ELEGE 1 150KG MORANGO;1;11;6;10;90;1,0;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;11
4361;BEB LACT ELEGE 1 150KG MORANGO;1;12;6;10;90;0,83;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;20
4361;BEB LACT ELEGE 1 150KG MORANGO;1;13;6;10;90;0,71;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;22
4361;BEB LACT ELEGE 1 150KG MORANGO;1;14;6;10;90;0,18;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;-7
4361;BEB LACT ELEGE 1 150KG MORANGO;1;17;6;10;90;0,41;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;-14
4361;BEB LACT ELEGE 1 150KG MORANGO;1;18;6;10;90;0,81;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;29
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;1;6;10;90;0,01;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;71
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;2;6;10;90;0,26;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;3
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;3;6;10;90;0,49;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;130
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;4;6;10;90;0,1;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;0
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;5;6;10;90;0,13;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;8
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;6;6;10;90;0,17;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;4
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;7;6;10;90;0,16;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;6
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;8;6;10;90;0,14;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;7
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;11;6;10;90;0,42;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;21
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;12;6;10;90;0,34;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;17
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;13;6;10;90;0,36;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;29
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;14;6;10;90;0,0;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;14
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;17;6;10;90;0,18;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;12
