"CODIGOINT";"DESCRICAO";"LOJA";"EmbSeparacao";"ESTATUAL";"CapacidadeGondola";"PontoPed";"EstoqueIdeal";"sem1acm";"2sem";"3sem";"4sem";"SECAOOPE";"ltmix"
"1011911";"ABACAXI MARIZA RODELAS 400G";"002";12,00;42,00;10,00;10,00;22,00;0,00;1,00;4,00;1,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"003";12,00;176,00;0,00;36,00;48,00;10,00;10,00;19,00;35,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"004";12,00;8,00;5,00;12,00;24,00;8,00;7,00;1,00;0,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"005";12,00;27,00;10,00;12,00;24,00;0,00;0,00;0,00;2,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"006";12,00;48,00;20,00;10,00;22,00;0,00;1,00;1,00;0,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"007";12,00;77,00;5,00;12,00;24,00;1,00;0,00;0,00;0,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"008";12,00;29,00;5,00;12,00;24,00;0,00;7,00;0,00;0,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"011";12,00;48,00;10,00;10,00;22,00;3,00;1,00;1,00;1,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"012";12,00;37,00;20,00;10,00;22,00;0,00;0,00;4,00;2,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"013";12,00;40,00;10,00;10,00;22,00;1,00;6,00;5,00;8,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"014";12,00;48,00;20,00;12,00;24,00;1,00;4,00;3,00;2,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"017";12,00;10,00;20,00;10,00;22,00;9,00;7,00;10,00;7,00;"10";"A"
"1011911";"ABACAXI MARIZA RODELAS 400G";"018";12,00;96,00;15,00;10,00;22,00;0,00;1,00;4,00;1,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"002";12,00;32,00;60,00;24,00;48,00;0,00;1,00;0,00;1,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"003";12,00;12,00;25,00;12,00;24,00;0,00;0,00;0,00;0,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"004";12,00;12,00;5,00;12,00;24,00;0,00;0,00;1,00;4,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"005";12,00;24,00;10,00;12,00;24,00;0,00;0,00;0,00;0,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"006";12,00;23,00;25,00;12,00;24,00;0,00;0,00;1,00;0,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"007";12,00;18,00;0,00;12,00;24,00;0,00;0,00;0,00;0,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"008";12,00;11,00;5,00;12,00;24,00;0,00;1,00;2,00;1,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"011";12,00;41,00;60,00;12,00;24,00;1,00;0,00;0,00;0,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"012";12,00;35,00;0,00;10,00;22,00;0,00;0,00;0,00;0,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"013";12,00;12,00;10,00;10,00;22,00;3,00;0,00;1,00;1,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"014";12,00;21,00;10,00;12,00;24,00;2,00;0,00;0,00;1,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"017";12,00;28,00;60,00;24,00;36,00;5,00;0,00;4,00;4,00;"10";"A"
"0009990";"ABACAXI ODERICH RODELAS 400G";"018";12,00;35,00;0,00;10,00;22,00;0,00;0,00;0,00;0,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"002";12,00;69,00;60,00;12,00;24,00;2,00;5,00;0,00;0,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"003";12,00;110,00;35,00;12,00;24,00;3,00;1,00;4,00;2,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"004";12,00;0,00;5,00;10,00;22,00;0,00;0,00;0,00;0,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"005";12,00;15,00;20,00;10,00;22,00;0,00;1,00;2,00;0,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"006";12,00;23,00;35,00;12,00;24,00;1,00;5,00;0,00;1,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"007";12,00;14,00;5,00;10,00;22,00;1,00;2,00;0,00;1,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"008";12,00;0,00;5,00;10,00;22,00;1,00;1,00;0,00;1,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"011";12,00;1,00;60,00;24,00;36,00;2,00;3,00;4,00;4,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"012";12,00;109,00;20,00;10,00;22,00;3,00;10,00;7,00;2,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"013";12,00;17,00;20,00;10,00;22,00;3,00;0,00;1,00;1,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"014";12,00;0,00;20,00;10,00;22,00;0,00;0,00;0,00;0,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"017";12,00;1,00;60,00;24,00;36,00;0,00;0,00;0,00;2,00;"10";"A"
"1004823";"ABACAXI TRIANGULO RODELA 400G";"018";12,00;116,00;35,00;12,00;24,00;0,00;0,00;0,00;1,00;"10";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"001";12,00;7,00;0,00;10,00;22,00;0,00;3,00;1,00;0,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"002";12,00;20,00;12,00;10,00;22,00;1,00;3,00;0,00;0,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"003";12,00;40,00;12,00;12,00;24,00;0,00;0,00;0,00;0,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"004";12,00;19,00;12,00;12,00;24,00;1,00;2,00;0,00;0,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"006";12,00;9,00;12,00;10,00;22,00;2,00;0,00;1,00;1,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"007";12,00;9,00;12,00;12,00;24,00;0,00;3,00;1,00;1,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"011";12,00;17,00;24,00;12,00;24,00;1,00;3,00;0,00;0,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"012";12,00;10,00;12,00;10,00;22,00;0,00;0,00;0,00;2,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"013";12,00;20,00;12,00;12,00;24,00;3,00;1,00;0,00;0,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"014";12,00;16,00;12,00;12,00;24,00;2,00;0,00;0,00;0,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"017";12,00;9,00;12,00;10,00;22,00;2,00;4,00;8,00;1,00;"16";"A"
"1615724";"ABS ALWAYS SECA C/ABAS C/16";"018";12,00;29,00;12,00;10,00;22,00;0,00;0,00;0,00;0,00;"16";"A"
"1615969";"ABS ALWAYS SECA C/ABAS C/32";"002";8,00;7,00;15,00;8,00;16,00;1,00;2,00;0,00;0,00;"16";"A"
"1615969";"ABS ALWAYS SECA C/ABAS C/32";"003";8,00;9,00;15,00;8,00;16,00;0,00;0,00;1,00;0,00;"16";"A"
"1615969";"ABS ALWAYS SECA C/ABAS C/32";"006";8,00;11,00;15,00;8,00;16,00;1,00;0,00;2,00;1,00;"16";"A"
"1615969";"ABS ALWAYS SECA C/ABAS C/32";"011";8,00;6,00;10,00;6,00;14,00;0,00;1,00;0,00;3,00;"16";"A"
"1615969";"ABS ALWAYS SECA C/ABAS C/32";"012";8,00;12,00;5,00;6,00;14,00;1,00;0,00;0,00;0,00;"16";"A"
"1615969";"ABS ALWAYS SECA C/ABAS C/32";"013";8,00;6,00;5,00;6,00;14,00;5,00;5,00;0,00;0,00;"16";"A"
"1615969";"ABS ALWAYS SECA C/ABAS C/32";"014";8,00;16,00;5,00;6,00;14,00;3,00;0,00;0,00;2,00;"16";"A"
"1615969";"ABS ALWAYS SECA C/ABAS C/32";"017";8,00;6,00;5,00;6,00;14,00;5,00;4,00;8,00;1,00;"16";"A"
"1615969";"ABS ALWAYS SECA C/ABAS C/32";"018";8,00;13,00;15,00;8,00;16,00;1,00;0,00;4,00;0,00;"16";"A"
"1615795";"ABS ALWAYS SECA C/ABAS C/8";"002";18,00;20,00;60,00;36,00;48,00;0,00;1,00;0,00;1,00;"16";"A"
