CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;NRO_PEDIDO;DATA;EMBALAGEM;ESTOQUE_DISPONIVEL_CD;QUANTIDADE_A_EXPEDIR
1;6792;LEITE UHT PET ELEGE 1L INTEGRAL;40584;2026-03-23;6;4518;6
1;776;REFRIG PEPSI COLA PET 200ML BLACK;40610;2026-03-23;12;2964;12
1;340;CHA ICE TEA LEAO PET 1 5L PESSEGO ZERO;42051;2026-03-25;6;0;6
1;37074;FARINHA TAPIOCA ROCHA 400G BATATA;42051;2026-03-25;10;20;10
1;37030;FAROFA ROCHA 250G FARROUPILHA;42051;2026-03-25;12;0;12
1;2361;FEIJAO VERMELHO ARBAZA 500G;42051;2026-03-25;12;416;12
1;7356;PAPEL HIG DUETTO 4 UN DE 30M PERFUMADO;42051;2026-03-25;16;45;48
1;21698;PAPEL HIG STYLUS FD 24 UN DE 20M NEUTRO;42051;2026-03-25;4;0;4
1;16844;CR DEN COLGATE T ACAO XTRA 120G WHITE;42187;2026-03-25;72;1836;432
1;35236;BOMBOM LACTA OREO 20G;42281;2026-03-25;27;6480;54
1;1353;CHOC BATON GAROTO 16G AO LEITE;42469;2026-03-26;30;731;30
1;16937;CR TRAT HEDERA 960G OLEO D ARGAN;42469;2026-03-26;6;834;6
1;6617;KIT SH SEDA SH 300 COND 190ML LISO PERFEITO;42469;2026-03-26;15;0;15
1;6786;LEITE LV EDGE ELEGE 1L SEMI DESNATADO;43103;2026-03-27;12;2376;12
1;12452;AMEND BCO BELLA DICA 400G;43131;2026-03-27;12;1296;12
1;3384;CALDO GALINHA APTI 57G;43131;2026-03-27;120;6211;240
1;2283;CANJICA BCA JUREIA 400G;43131;2026-03-27;12;6;12
1;16874;CR DEN SORRISO 120G TRIPLA LIMPEZA COMPLETA;43131;2026-03-27;72;72;72
1;37074;FARINHA TAPIOCA ROCHA 400G BATATA;43131;2026-03-27;10;20;10
1;2385;LENTILHA BELLA DICA 400G;43131;2026-03-27;12;47;24
1;10145;SAB FARNESE 180G ERV DOCE VERB;43131;2026-03-27;36;2448;36
1;17157;DESINF APYCE 2L LAVANDA;43279;2026-03-27;6;334;30
1;36264;DET LIQ APYCE SUPER ACAO SH 800ML;43279;2026-03-27;12;0;24
1;36263;DET PO APYCE MULT AZUL SH 800G;43318;2026-03-27;25;950;125
1;36616;BOMBOM NESTLE ESPECIALIDADES 220G SORTIDOS;43406;2026-03-27;30;18;600
1;56;AGUA MIN AGUA DA PEDRA LT 350ML LIM C ALECRIM;43506;2026-03-27;12;29;24
1;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;43506;2026-03-27;6;6;60
1;25;AGUA MIN AGUA DA PEDRA PET 2L C GAS;43506;2026-03-27;6;3;30
1;84;AGUA TONICA FRUKI LT 350ML;43506;2026-03-27;12;93;12
1;18;AGUA TONICA FRUKI PET 1 5L;43506;2026-03-27;6;0;30
1;407;ENERG ELEV LT 473 ML ORIGINAL;43506;2026-03-27;6;1;30
1;408;ENERG ELEV LT 473 ML ZERO;43506;2026-03-27;6;32;18
1;409;ENERG ELEV PET 2 L ACAI COCO;43506;2026-03-27;6;23;18
1;414;ENERG ELEV PET 2 L GUAR MARACUJA;43506;2026-03-27;6;0;18
1;412;ENERG ELEV PET 2L ORIGINAL;43506;2026-03-27;6;106;30
1;34748;ENERG ELEV PET 2L ZR PINK LEMON;43506;2026-03-27;6;108;12
1;378;REFRE FRUKITO PET 200ML FRUTAS CITRICAS;43506;2026-03-27;12;15;24
1;369;REFRE FRUKITO PET 2L LIMAO;43506;2026-03-27;6;0;18
1;371;REFRE FRUKITO PET 2L UVA;43506;2026-03-27;6;123;12
1;375;REFRE FRUKITO PET 500ML LIMAO;43506;2026-03-27;12;6;24
1;767;REFRIG FRUKI COLA PET 200ML COLA;43506;2026-03-27;12;5;36
1;22871;REFRIG FRUKI LT 269ML GUARANA;43506;2026-03-27;12;0;24
1;742;REFRIG FRUKI PET 1 5 L CITRUS;43506;2026-03-27;6;0;12
1;770;REFRIG FRUKI PET 200ML LARANJA;43506;2026-03-27;12;0;60
1;772;REFRIG FRUKI PET 200ML LARANJINHA;43506;2026-03-27;12;8;24
1;774;REFRIG FRUKI PET 200ML UVA;43506;2026-03-27;12;12;24
1;818;REFRIG FRUKI PET 2L LARANJA;43506;2026-03-27;6;25;30
