Codigo;Produto;Nro Pedido;Data;Embal;Loja;Depósito;Qtde Expedir
48;AGUA MIN FLORESTA 500ML C GAS;15302;10/02/2026;12;001;461;168
2911;ACHOC LIQ ITALAC 200ML;33729;09/03/2026;24;001;1396;1
783;ACHOC PO NESCAU SH 2 01KG;35800;13/03/2026;4;001;4;1
2956;ACHOC PO NESCAU SH 550G ACTIV GO;35800;13/03/2026;12;001;32;1
750;ACUCAR CRISTAL GASPARIN 5KG;35800;13/03/2026;6;001;318;6
763;ACUCAR CRISTAL SAO JOAO 5KG;31177;02/03/2026;6;001;643;1
12274;AGUA MIN AGUA DA PEDRA LT 350ML BLUEBER LIM;35800;13/03/2026;12;001;8;1
12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;35800;13/03/2026;6;001;151;3
50;AGUA MIN AGUA DA PEDRA PET 5L S GAS;35800;13/03/2026;4;001;221;4
52;AGUA MIN FLORESTA 5L S GAS;35800;13/03/2026;4;001;457;1
53;AGUA MIN SARANDI 5L S GAS;33234;06/03/2026;4;001;418;3
3948;AGUA SANIT GOTA LIMPA 1L;33729;09/03/2026;12;001;429;1
12290;AGUA SANIT IMPERIAL 2L;33151;06/03/2026;6;001;193;3
3950;AGUA SANIT Q BOA 1L;35800;13/03/2026;12;001;33;1
3952;AGUA SANIT Q BOA 5L;33151;06/03/2026;3;001;185;1
82;AGUA TONICA ANTARTICA PET 1L;33234;06/03/2026;6;001;14;2
18;AGUA TONICA FRUKI PET 1 5L;35800;13/03/2026;6;001;66;3
12295;AGUA TONICA QUININO ZERO 350ML;33234;06/03/2026;12;001;7;2
413;AGUARDENTE KIKANA 790ML;35800;13/03/2026;12;001;118;1
12309;ALCOOL ARAUCARIA 46 500ML;33151;06/03/2026;12;001;204;1
33287;AMAC APYCE 5L JASMIM RSA;33729;09/03/2026;2;001;261;2
33286;AMAC APYCE 5L TRAD AZL;35800;13/03/2026;2;001;531;6
4177;AMAC DOWNY 1 5L BRISA INTENSO;33151;06/03/2026;9;001;134;1
12416;AMAC GOTA LIMPA 2L DELICATA;33729;09/03/2026;6;001;197;1
12419;AMAC GOTA LIMPA 2L FLORATA;33729;09/03/2026;6;001;78;2
12418;AMAC GOTA LIMPA 5L FASCINIO;33729;09/03/2026;4;001;102;1
4217;AMAC YPE 2L ACONCHEGO;35800;13/03/2026;6;001;160;1
4220;AMAC YPE 5L ACONCHEGO;33729;09/03/2026;4;001;155;1
33285;AMACIANTE APYCE 2L JASMIM ROSA;35800;13/03/2026;6;001;36;2
33458;AMACIANTE APYCE 2L TRAD AZ;35800;13/03/2026;6;001;38;5
4259;AP PRESTOBARBA ULTRA GRIP 2UN;35800;13/03/2026;12;001;154;7
8858;AP PROBAK II 2UN;35800;13/03/2026;14;001;253;1
4277;AREIA SANITARIA BEAUTICAT 4KG;35800;13/03/2026;5;001;122;1
3848;ARROZ BCO BOM GOSTO TP1 5KG BOM GOSTO;35800;13/03/2026;6;001;52;1
