CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;DEPARTAMENTO;NRO_PEDIDO;DATA;NRO_PED_EXPEDICAO;CARGA;EMBALAGEM;ESTOQUE_DISPONIVEL_CD;QUANTIDADE_A_EXPEDIR;QTD_SEPARADA;QTD_CONFERIDA;DATA_CONFERENCIA;USUARIO_CONFERENCIA;ESTOQUE_DISPONIVEL_LOJA
11;33967;LIMPA PNEUS MIL MILHAS 485ML;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;20;300;20;1;0;01/06/2026;RONAS;7
11;18170;ESP 3M SCHOTCH BRITE ECONOMICA;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;10;990;10;1;0;01/06/2026;RONAS;14
11;24084;SC LIXO ALMOF CASAFORT 100L C 5;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;50;0;50;1;0;01/06/2026;RONAS;50
11;10084;PREND ROUPA PARANA PLAST EMB 12UN;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;60;1140;60;1;0;01/06/2026;RONAS;6
11;24096;SC LIXO PRO LIXO ROLAO 100L C 25;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;12;48;12;1;0;01/06/2026;RONAS;4
11;24121;SC LIXO ROL DOBRASIL 10L C 50;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;25;25;25;1;0;01/06/2026;RONAS;47
11;8704;VASSOURA CONDOR LIMPA PISO S CABO;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;12;1728;12;0;0;01/06/2026;RONAS;11
18;20454;MANG DUOCOLOR 10MTS;NAO ALIMENTO;75213;02/06/2026;138253;72284;1;0;1;0;0;;;9
3;9751;LEITE SANTA CLARA UHT INT 1L;PERECIVEIS;75413;03/06/2026;140915;;12;95304;1020;0;0;;;2544
3;34846;ALVEJ BARBAREX 5L S CLORO;PERFUMARIA E LIMPEZA;75441;03/06/2026;140915;73749;2;226;154;0;0;;;3
7;23217;SAL REFINADO EX GARCA 1K;MERCEARIA;77683;08/06/2026;;;10;1329;10;0;0;;;33
17;20454;MANG DUOCOLOR 10MTS;NAO ALIMENTO;77731;08/06/2026;142666;74389;1;0;2;0;0;;;-4
7;985;MOSTARDA ODERICH SH 1KG;MERCEARIA;78234;09/06/2026;;;6;6;6;0;0;;;61
7;2087;CHA PRENDA 18G PRETO;MERCEARIA;78234;09/06/2026;;;20;1627;20;0;0;;;80
7;38145;CAFE SOL NESCAFE VD 200G GTS 10G TRAD;MERCEARIA;78234;09/06/2026;;;12;72;12;0;0;;;-27
7;15194;CAFE SOL NESCAFE TRAD SH L40P36G;MERCEARIA;78234;09/06/2026;;;24;0;24;0;0;;;145
7;2076;CHA PRENDA 10G CAMOMILA;MERCEARIA;78234;09/06/2026;;;20;1719;20;0;0;;;224
17;20454;MANG DUOCOLOR 10MTS;NAO ALIMENTO;78280;09/06/2026;144225;75343;1;0;1;0;0;;;-4
18;25106;VASSOURA JARDINEIRA S CABO;PERFUMARIA E LIMPEZA;78248;09/06/2026;144209;75367;1;0;2;0;0;09/06/2026;SAMUEL;5
