CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;DEPARTAMENTO;NRO_PEDIDO;DATA;NRO_PED_EXPEDICAO;CARGA;EMBALAGEM;ESTOQUE_DISPONIVEL_CD;QUANTIDADE_A_EXPEDIR;QTD_SEPARADA;QTD_CONFERIDA;ESTOQUE_DISPONIVEL_LOJA
7;1679;CONFEITO BIBS PASSAS 40G;MERCEARIA;31339;02/03/2026;56123;;72;24;72;0;0;65
7;5807;ESC DENTAL COLGATE EXTRA CLEAN;PERFUMARIA E LIMPEZA;31339;02/03/2026;56123;23886;12;0;12;1;1;32
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA E LIMPEZA;31339;02/03/2026;58251;;12;13;24;0;0;-8
7;5807;ESC DENTAL COLGATE EXTRA CLEAN;PERFUMARIA E LIMPEZA;31339;02/03/2026;56123;;12;0;12;0;0;32
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA E LIMPEZA;31339;02/03/2026;60932;;12;13;48;0;0;-8
7;5807;ESC DENTAL COLGATE EXTRA CLEAN;PERFUMARIA E LIMPEZA;31339;02/03/2026;56125;23853;12;0;12;0;0;32
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA E LIMPEZA;31339;02/03/2026;56125;23853;12;13;24;0;0;-8
7;5807;ESC DENTAL COLGATE EXTRA CLEAN;PERFUMARIA E LIMPEZA;31339;02/03/2026;56125;;12;0;12;0;0;32
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA E LIMPEZA;31339;02/03/2026;56125;;12;13;24;0;0;-8
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA E LIMPEZA;31339;02/03/2026;56123;23886;12;13;24;0;0;-8
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA E LIMPEZA;31339;02/03/2026;58600;25300;12;13;24;0;0;-8
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA E LIMPEZA;31339;02/03/2026;56126;;12;13;24;0;0;-8
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA E LIMPEZA;31339;02/03/2026;56126;23847;12;13;24;0;0;-8
7;1679;CONFEITO BIBS PASSAS 40G;MERCEARIA;31339;02/03/2026;56123;23886;72;24;72;0;0;65
13;35992;PAPEL TOALHA SIRIUS CHEF 02UN;PERFUMARIA E LIMPEZA;31609;02/03/2026;56291;23858;12;3216;240;20;0;-8
13;33968;PAPEL HIG SIRIUS PREMIER FD 20M C12;PERFUMARIA E LIMPEZA;31609;02/03/2026;56291;23858;4;0;80;20;0;-134
14;3586;BEBIDA PARMALAT WHEY 250ML CAPPUCCINO;MERCEARIA;31187;02/03/2026;57896;24841;18;54;18;0;0;12
14;4466;BLOCO SANIT HIGISOL 35G ACOP FLORAL;PERFUMARIA E LIMPEZA;31187;02/03/2026;57896;24841;12;0;12;0;0;13
14;21893;PERFUME AMBIENTE AMAZONIA 200ML ZAFIRA;PERFUMARIA E LIMPEZA;31187;02/03/2026;57896;24841;12;0;24;0;0;0
2;2296;ERVILHA YOKI PARTIDA 400GR;PERECIVEIS;31682;03/03/2026;57885;24830;16;0;16;0;0;-1
5;22499;PTO DESC BCO DUDIGO 15CM C 10;NAO ALIMENTO;31747;03/03/2026;56572;23946;50;2530;50;1;0;217
13;21306;ODORIZ AMAZONIA AROM 270ML SEMENTE;PERFUMARIA E LIMPEZA;31690;03/03/2026;56347;23858;1;2;2;0;0;10
13;24824;TINTURA BELAECOR 147G 6 0 LOURO ESCU;PERFUMARIA E LIMPEZA;31690;03/03/2026;56347;23858;6;6;6;0;0;0
13;22743;RAC SNOW DOG CORD PQ PORT 5K;PRODUTOS PET;31690;03/03/2026;56347;23858;1;354;1;0;0;3
13;21682;PAPEL HIG BIANCO NEUTRO FLA SMP 60M 12UN;PERFUMARIA E LIMPEZA;31690;03/03/2026;56347;23858;8;0;8;1;0;42
13;12542;AP VENUS PELE SENS RECAR;PERFUMARIA E LIMPEZA;31690;03/03/2026;56347;23858;1;160;2;0;0;3
13;21700;PAPEL HIG SULINO NEUTRO FS FD C 4UN DE 30M;PERFUMARIA E LIMPEZA;31690;03/03/2026;56347;23858;16;0;16;1;0;-43
17;1025;BISC AGUA E SAL PARATI 740G;MERCEARIA;31885;03/03/2026;59876;26215;12;6853;120;0;0;679
17;1025;BISC AGUA E SAL PARATI 740G;MERCEARIA;31885;03/03/2026;58452;25197;12;6853;120;0;0;679
17;1025;BISC AGUA E SAL PARATI 740G;MERCEARIA;31885;03/03/2026;60385;26614;12;6853;120;10;0;679
17;1025;BISC AGUA E SAL PARATI 740G;MERCEARIA;31885;03/03/2026;59383;25833;12;6853;120;0;0;679
