CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;DEPARTAMENTO;NRO_PEDIDO;DATA;NRO_PED_EXPEDICAO;CARGA;EMBALAGEM;ESTOQUE_DISPONIVEL_CD;QUANTIDADE_A_EXPEDIR;QTD_SEPARADA;QTD_CONFERIDA;DATA_CONFERENCIA;USUARIO_CONFERENCIA;ESTOQUE_DISPONIVEL_LOJA
7;5807;ESC DENTAL COLGATE EXTRA CLEAN;PERFUMARIA E LIMPEZA;31339;02/03/2026;56125;23853;12;0;12;1;1;04/03/2026;JOCELAINE;31
7;1679;CONFEITO BIBS PASSAS 40G;MERCEARIA;31339;02/03/2026;56123;23886;72;24;72;0;0;04/03/2026;MARIA;57
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA E LIMPEZA;31339;02/03/2026;56123;23886;12;1;24;0;0;04/03/2026;LUIZA;-11
2;2296;ERVILHA YOKI PARTIDA 400GR;PERECIVEIS;31682;03/03/2026;57885;24830;16;0;16;0;0;;;-1
13;12542;AP VENUS PELE SENS RECAR;PERFUMARIA E LIMPEZA;31690;03/03/2026;56347;23858;1;148;2;0;0;;;31
8;8274;SHAMPOO PALMOLIVE 350ML NUTRICAO EXTRA;PERFUMARIA E LIMPEZA;32924;06/03/2026;58799;25464;6;0;6;1;1;09/03/2026;NYCOLI;6
8;9539;FRALDA BABYSEC ULTRA JUMBINHO G 16UN;PERFUMARIA E LIMPEZA;32924;06/03/2026;58799;25464;8;80;8;0;0;07/03/2026;EVERSON;6
8;18748;FRALDA DESC FERINHA JUMBINHO C 18 M;PERFUMARIA E LIMPEZA;32924;06/03/2026;58799;25464;12;36;24;0;0;07/03/2026;EVERSON;0
14;1013;BATATA PALHA YOKI TRAD 70G;MERCEARIA;33739;09/03/2026;60217;26499;24;2261;24;0;0;;JORGE;302
14;1257;BISC DOCE PARATI ROSCA 250G LEITE;MERCEARIA;33739;09/03/2026;60217;26499;16;863;16;0;0;;JORGE;2
14;3028;CEREAL MAT NESTLE SH 120G NESCAU;MERCEARIA;33739;09/03/2026;60217;26499;20;2160;20;0;0;;JORGE;8
14;1242;CHOC BARRA NEUGEBAUER 80G BCO;MERCEARIA;33739;09/03/2026;60217;26499;64;1987;64;0;0;;JORGE;219
14;1647;WAFER GIRASSOL 60G MORANGO;MERCEARIA;33739;09/03/2026;60217;26499;50;0;50;1;0;;JORGE;52
14;1247;CHOC BARRA NEUGEBAUER 80G AO LEITE;MERCEARIA;33739;09/03/2026;60217;26499;64;0;64;0;0;;JORGE;192
14;1636;TORRADA VISCONTI 120G TRAD;MERCEARIA;33739;09/03/2026;60217;26499;32;128;32;1;0;;JORGE;21
14;1644;TORRADA BAUDUCCO 142G MULTIGRAOS;MERCEARIA;33739;09/03/2026;60217;26499;36;0;36;1;0;;JORGE;18
14;1016;BISC AGUA E SAL GERMANI 345G;MERCEARIA;33739;09/03/2026;60217;26499;20;2984;20;0;0;;JORGE;-4
14;1528;BISC RECH ISABELA MOUSSE 130G CHOC AO LEITE;MERCEARIA;33739;09/03/2026;60217;26499;50;50;50;0;0;;JORGE;16
14;1394;BISC ORQUIDEA 320G INTEG;MERCEARIA;33739;09/03/2026;60217;26499;22;352;22;0;0;;JORGE;1
14;1650;WAFER PARATI MINUETO 81G CHOC;MERCEARIA;33739;09/03/2026;60217;26499;36;10682;36;1;0;;JORGE;39
14;3226;SALG BATATA PRINGLES 109G CREME E CEBOLA;MERCEARIA;33739;09/03/2026;60217;26499;18;609;18;1;0;;JORGE;0
14;1656;WAFFER ISABELA 100G CHOC;MERCEARIA;33739;09/03/2026;60217;26499;40;0;40;1;0;;JORGE;228
14;1812;BALA GOMA DORI GIRAFA 30G FRAMBOESA;MERCEARIA;33739;09/03/2026;60217;26499;60;1259;60;0;0;;JORGE;34
14;1196;BALA TOFFANO CAFE GOLD 500G;MERCEARIA;33739;09/03/2026;60217;26499;22;0;22;0;0;;JORGE;0
14;1497;BISC RECH TRAKINAS 126G CHOC;MERCEARIA;33739;09/03/2026;60217;26499;54;5346;54;0;0;;JORGE;333
14;1616;BISC SALG CLUB SOCIAL 288G ORIGINAL;MERCEARIA;33739;09/03/2026;60217;26499;20;3240;20;0;0;;JORGE;48
14;3581;BEBIDA PARMALAT WHEY 250ML ABACATE;MERCEARIA;33739;09/03/2026;60217;26499;18;50;18;0;0;09/03/2026;JUCIELE;-1
14;1648;WAFER GIRASSOL 60G CHOC;MERCEARIA;33739;09/03/2026;60217;26499;50;0;100;2;0;;JORGE;16
14;1238;CHOC BARRA NEUGEBAUER 80G MEIO AMARGO;MERCEARIA;33739;09/03/2026;60217;26499;64;1200;64;0;0;;JORGE;68
14;3252;SALG OBBA 100G CEBOLA E SALSA;MERCEARIA;33739;09/03/2026;60217;26499;10;614;10;1;0;;JORGE;10
14;1661;WAFFER ISABELA 100G CHOC BRANCO;MERCEARIA;33739;09/03/2026;60217;26499;40;32400;40;1;0;;JORGE;127
14;1630;BOLO BAUDUCCO 40G BAUN MORANGO;MERCEARIA;33739;09/03/2026;60217;26499;144;0;144;0;0;;JORGE;105
14;1272;CHOC BARRA GAROTO CHOC BCO 80G;MERCEARIA;33739;09/03/2026;60217;26499;16;935;16;0;0;;JORGE;184
14;1660;WAFFER ISABELA 100G LIMAO;MERCEARIA;33926;09/03/2026;60736;26872;40;0;120;3;3;10/03/2026;CAROLINA;13
2;2307;ATUM RALADO NAUTIQUE 170G EM OLEO;MERCEARIA;34315;10/03/2026;61396;28586;24;0;240;0;0;17/03/2026;SEFRIN;11
3;8276;SHAMPOO PALMOLIVE 350ML NEUTRO;PERFUMARIA E LIMPEZA;34452;10/03/2026;61947;34328;6;5;5;0;0;;;3
3;1521;CHOC KINDER OVO T2 LEI GABBYS 40G;MERCEARIA;34452;10/03/2026;61947;34328;48;45;48;1;0;04/04/2026;PAMELA;23
2;874;MAIONESE ODERICH SH 1KG;MERCEARIA;34901;11/03/2026;62195;28586;6;569;60;0;0;17/03/2026;SEFRIN;70
2;946;MAIONESE LIZA CASEIRA BD 2 7KG;MERCEARIA;34901;11/03/2026;62195;28586;6;4;12;0;0;17/03/2026;SEFRIN;0
2;2767;MAIONESE HELLMANNS SH 200G;MERCEARIA;34901;11/03/2026;62195;28586;24;192;1200;0;0;17/03/2026;SEFRIN;188
