CODIGO_PRODUTO	DESCRICAO_PRODUTO	QUANTIDADE_DISPONIVEL	QTD_VENDIDA	QUANTIDADE_ESTOQUE_MINIMO	QUANTIDADE_ESTOQUE_MAXIMO
3903	ABS C ABAS MILI DIA NOITE C 16 UN SUAVE	0	0	0	0
2949	ACHOC PO TODDY SH 480G	20	0	16	36
33213	ACUCAR MASCAVO GASPARIN 1KG	20	0	10	20
12273	AGUA MIN DA PEDRA LT 350ML BERGA CAPIM LIM	23	1	12	24
12274	AGUA MIN DA PEDRA LT 350ML BLUEBER LIM	22	1	12	24
12275	AGUA MIN DA PEDRA LT 350ML PESSEGO	20	2	12	24
12290	AGUA SANIT IMPERIAL 2L	-11	0	24	30
83	AGUA TONICA ANTARCTICA PET 1L ZR	18	0	12	18
82	AGUA TONICA ANTARTICA PET 1L	6	0	12	18
871	AGUA TONICA SCHWEPPES LT 350ML	6	0	12	18
3082	ANTIMOFO TRISANTI 1KG	6	0	0	0
12529	AP GILLETTE MACH3	33	0	6	12
12531	AP GILLETTE PROBAK C 2	41	0	202	538
442	APERITIVO APEROL VD 750ML	0	0	6	12
2319	ATUM EM PEDACOS NAUTIQUE 170G OLEO	34	2	18	42
2353	ATUM SOLIDO COQUEIRO 170G EM OLEO	28	0	18	42
38548	AZEITONA FATIADA RIVOLI 1 01KG	0	0	0	0
38546	AZEITONA RIVOLI C CAROCO 1 01KG	0	0	0	0
38545	AZEITONA RIVOLI C PIMENTAO 1 01KG	0	0	0	0
38547	AZEITONA S CAROCO RIVOLI 1 01KG	0	0	0	0
2322	AZEITONA VDE V FERTIL SH 150G C CAR	51	0	18	42
38544	AZEITONA VERDE RIVOLI C CAROCO 500G	0	0	0	0
1831	BALA GOMA DORI GOMETS 700G AMERICAN FRUTAS	11	0	10	22
1835	BALA GOMA DORI GOMETS 700G MINHOCA FRUTAS	12	0	10	22
1832	BALA GOMA DORI GOMETS 700G SINO	12	0	10	22
1225	BALA GOMA GOMUTCHO 1KG GOMOS	0	0	8	18
1119	BALA PIETROBON 170G ALGODAO DOCE	59	1	24	64
1114	BALA PIETROBON 170G T FRUTTI	61	1	30	70
12822	BALA PIETROBON YOGURTE SORT 170G	70	1	30	70
38172	BALA STICK BRUXOLITA Q PINTA 12 3G	0	0	0	0
