CODIGO_EMPRESA	CODIGO_PRODUTO	DESCRICAO_PRODUTO	QUANTIDADE_DISPONIVEL	QTD_VENDIDA	QUANTIDADE_ESTOQUE_MINIMO	QUANTIDADE_ESTOQUE_MAXIMO	ESTOQUE_CD15
2	54	AGUA MIN DA PEDRA LT 350ML ABACAXI C HORT	28	1	10	22	30
2	12273	AGUA MIN DA PEDRA LT 350ML BERGA CAPIM LIM	16	0	10	22	16
2	12274	AGUA MIN DA PEDRA LT 350ML BLUEBER LIM	16	0	10	22	32
2	55	AGUA MIN DA PEDRA LT 350ML FTAS VRM	15	2	10	22	0
2	442	APERITIVO APEROL VD 750ML	6	1	6	12	
2	323	BEB ADES TP 1L SOJA	22	2	24	36	
2	4420	BEB SCHWEPPES GF 250ML SPRITZ	31	1	18	24	
2	452	BEB SCHWEPPES LT 269ML GIN TONICA PINK	0	0	0	0	
2	454	BEB SCHWEPPES LT 269ML VODKA E CITRUS	23	2	18	24	
2	33276	CERV CERPA EXPORT LT 350ML	0	0	10	22	
2	15756	CERV HEINEKEN FULLY LN 250ML	-3	0	24	48	
2	363	CERV HEINEKEN PILSEN BARRIL 5L	1	1	6	8	
2	113	CERV ORIGINAL1L RETORNAVEL	0	0	36	48	372
2	4625	CERV PATAGONIA IPA LT 473ML	12	0	6	12	132
2	126	CERV POLAR PILSEN GF 300ML RETORNAVEL	0	0	23	46	
2	337	CHA ICE TEA LEAO PET 1 5L LIMAO ZERO	17	0	6	12	
2	16072	CHOPP VINHO BCO VD 600ML	12	1	6	12	36
2	553	CONHAQUE DREHER GENGIBRE VD 900ML	0	1	9	21	
2	480	COQUETEL TAIMBE PET 900ML COCO	10	2	10	22	4
2	483	ENERG BALY LT 250ML LABELLAMAFIA	25	1	6	12	
2	479	ENERG BALY LT 250ML TROPICAL	36	0	6	12	228
2	491	ENERG BALY LT 250ML TROPICAL S A	60	2	48	60	78
2	36719	ENERG MONSTER LT 473ML THE DOCTOR	0	0	18	24	
2	394	ENERG MONSTER LT 473ML ULTRA VIOLET	0	0	18	24	
2	519	ENERG RED BULL LT 250ML MELANCIA	-1	0	16	40	346
2	520	ENERG RED BULL LT 250ML MORANGO PESSEGO	48	1	24	48	248
2	37263	ENERG RED BULL LT 250ML NECTARINA S ACU	0	0	12	36	264
2	33732	ENERG RED BULL LT 250ML POMELO	26	0	16	40	192
2	526	ENERG RED BULL LT 250ML TROPICAL	49	2	24	48	186
2	533	ENERG RED BULL LT 355ML	6	0	24	36	88
2	37250	ENERG RED BULL MACA S A LT 250ML	24	1	16	40	215
2	673	ESP GARIBALDI GF 650ML MEIO DOCE	25	0	6	12	0
2	676	ESP GARIBALDI GF 750ML MOSCATEL FRUTADO	14	0	6	12	0
2	690	ESP OREMUS MOSCATEL GF 750ML BRANCO	35	0	6	12	78
2	697	ESP Q DO MORGADO MOSCATEL GF 600ML BRANCO	92	2	18	24	294
2	722	FILTRADO DUSHY FEST S ALC 660ML	24	0	12	18	36
2	725	FILTRADO GARIBALDI S ALC 660ML ROSE	24	0	10	22	120
2	718	FILTRADO GOTA D CRISTAL 660ML DOCE ROSE	48	0	24	48	60
2	730	FILTRADO GOTA DCRISTAL S ALC 660ML	11	0	10	22	12
2	585	GIN OLD BRIDGE VD 900ML LONDON	14	2	7	13	2
2	587	GIN OLD BRIDGE VD 900ML ROSE	11	2	7	13	0
2	588	GIN ROCKS SECO VD 1L	11	2	6	12	0
2	591	GIN ROCKS VD 1L SICILIAN LEMON	14	0	6	12	6
2	594	GIN ROCKS VD 1L SUNSET	21	1	6	12	12
2	3831	KEEP COOLER CLASSIC CITRUS 275ML	47	0	12	18	246
2	58	KEEP COOLER CLASSIC COLADA 275ML	34	1	12	18	0
2	61	KEEP COOLER CLASSIC MORANGO 275ML	0	0	12	18	0
2	493	LA TEQUILA PRATA VD 900ML	50	0	6	12	18
2	375	REFRE FRUKITO PET 500ML LIMAO	31	1	10	22	6
2	376	REFRE FRUKITO PET 500ML UVA	21	1	12	24	0
2	34718	REFRE HAPPY TP 1L PESSEGO	32	0	24	36	240
2	100	REFRE PO FRISCO 18G TANGERINA	368	0	180	360	1080
2	197	REFRE PO PROMIX 100G LIMAO	18	0	14	32	216
2	793	REFRIG COCA COLA E FANTA LARANJA 2L	0	0	98	140	
2	875	REFRIG FRUKI LT 350 ML COLA ZR	12	0	12	24	0
2	595	SUCO COM TEM LARANJA VD 1L	6	0	6	12	12
2	38157	SUCO COM TEM VD 1L UVA E MACA	12	0	6	12	0
2	586	SUCO COM TEM VERDE VD 1L	6	2	6	12	0
2	621	SUCO DEL VALLE FRUT PET 450ML CITRUS	0	0	42	54	
2	674	SUCO MAGUARY TP 1L GOIABA	4	0	10	22	-1
2	681	SUCO MAGUARY TP 1L TANGERINA	2	0	10	22	-2
2	8530	SUCO SKINKA 450 ML FRUTAS CITRICAS	4	0	12	24	0
2	8531	SUCO SKINKA 450 ML FRUTAS VERMELHA	0	0	24	36	
2	25413	VERMUTE MARTINI 750ML BIANCO	8	1	7	10	0
2	137	VH ARBO ASSEMBLAGE SC 750ML	33	1	12	18	37
2	148	VH ARBO MARSELAN SC 750ML	15	0	6	12	36
2	146	VH ARBO MERLOT 750ML	14	0	12	18	25
2	143	VH ARBO RIESLING SC 750ML	20	2	6	12	24
2	38045	VH CANCAO MOSCATO SECO 750ML	0	0	0	0	0
2	224	VH DEL GRANO BCO 1 48L SC	11	0	6	12	
2	38158	VH DEL GRANO GOLD ROSE BORDO 750ML SUAVE	0	0	6	12	0
2	238	VH DEL GRANO GOLD TINTO 750ML DEMI SEC	24	0	18	24	138
2	265	VH JOTA PE BCO 750ML SV	42	2	12	18	24
2	25434	VH JP BCO SECO TRAD 1 5L	18	1	12	18	12
2	33787	VH MIORANZA FRISANTE 750ML ROSE SV	15	2	10	22	
2	281	VH RELAX FRISANTE BCO 750ML DEMI SEC	54	0	6	12	0
2	283	VH RELAX FRISANTE ROSE SV 750ML	19	2	6	12	0
2	304	VH SANGUE BOI TINTO 4L SV	7	1	8	12	35
2	8748	VINHO CONCHA Y TORO 750ML ROSE	31	0	12	24	48
2	8750	VINHO CONCHA Y TORO 750ML TTO MALBEC	18	2	36	48	0
2	623	VODKA ORLOFF VD 1L	3	2	7	13	0
2	25463	VODKA SPRITE ABSOLUT LT 269ML	15	1	6	12	
2	640	WHISKY BLEND SEVEN 1L	0	2	9	12	79
2	648	WHISKY MASTER GOLD VD 900ML	19	0	13	19	429
3	56	AGUA MIN DA PEDRA LT 350ML LIM C ALECRIM	36	0	12	24	41
3	366	AGUARD VELHO BARREIRO 910ML CAFE	24	2	12	24	56
3	452	BEB SCHWEPPES LT 269ML GIN TONICA PINK	0	0	0	0	
3	545	BITTER CAMPARI VD 748ML	0	0	12	24	0
3	33276	CERV CERPA EXPORT LT 350ML	0	0	10	22	
3	15756	CERV HEINEKEN FULLY LN 250ML	19	0	48	72	
3	363	CERV HEINEKEN PILSEN BARRIL 5L	4	1	6	8	
3	4625	CERV PATAGONIA IPA LT 473ML	14	2	6	12	132
3	3841	CHA BRAZO VD 350ML C LIMAO FR AMAR	32	0	10	22	0
3	342	CHA BRAZO VD 350ML F VERM C LIMAO	-27	0	36	48	
3	343	CHA BRAZO VD 350ML HIBISCO PESSEGO	10	0	24	36	0
3	344	CHA BRAZO VD 350ML MATE C LIMAO	50	1	12	24	
3	346	CHA BRAZO VD 350ML VDE C TANGERINA	9	0	24	36	0
3	336	CHA ICE TEA LEAO PET 1 5L LIMAO	0	2	24	30	
3	355	CHA LEAO VERDE LIMAO PET 450ML	0	2	24	30	
3	553	CONHAQUE DREHER GENGIBRE VD 900ML	0	2	9	21	
3	85	COOLER CANCAO 750ML ABACAXI	0	0	12	24	0
3	87	COOLER CANCAO 750ML PESSEGO	12	1	10	22	0
3	478	COQUETEL TAIMBE PET 900ML AMEMDOIM	22	2	12	24	0
3	459	ENERG BALY LT 473ML MANGA	3	0	18	24	0
3	573	ENERG HIPERTENSAO PET 2L CITRUS	18	0	6	12	6
3	393	ENERG MONSTER LT 473ML PESSEGO	3	2	48	72	
3	36719	ENERG MONSTER LT 473ML THE DOCTOR	0	0	42	54	
3	394	ENERG MONSTER LT 473ML ULTRA VIOLET	0	0	18	24	
3	520	ENERG RED BULL LT 250ML MORANGO PESSEGO	48	0	36	60	248
3	533	ENERG RED BULL LT 355ML	9	0	36	48	88
3	17566	ENERG RED BULL MELAO MARAC LT 250ML	1	0	20	24	428
3	658	ESP AURORA MOSCATEL GF 750ML ROSE	4	0	12	24	0
3	690	ESP OREMUS MOSCATEL GF 750ML BRANCO	52	2	6	12	78
3	691	ESP OREMUS MOSCATEL GF 750ML ROSE	57	0	6	12	60
3	722	FILTRADO DUSHY FEST S ALC 660ML	40	1	12	18	36
3	725	FILTRADO GARIBALDI S ALC 660ML ROSE	15	1	12	24	120
3	716	FILTRADO GOTA D CRISTAL 660ML DOCE BRANCO	23	1	12	24	336
3	730	FILTRADO GOTA DCRISTAL S ALC 660ML	12	0	10	22	12
3	559	GIN INTENCION VD 900ML	16	2	12	24	5
3	587	GIN OLD BRIDGE VD 900ML ROSE	9	2	7	13	0
3	594	GIN ROCKS VD 1L SUNSET	5	1	6	12	12
3	3831	KEEP COOLER CLASSIC CITRUS 275ML	37	0	12	18	246
3	61	KEEP COOLER CLASSIC MORANGO 275ML	0	0	12	18	0
3	69	KEEP COOLER CLASSIC TANGERINA 275ML	12	0	12	18	0
3	493	LA TEQUILA PRATA VD 900ML	15	1	6	12	18
3	33871	REFRE HAPPY TP 200ML ABACAXI	88	1	72	96	168
3	98	REFRE PO CLIGHT 8G TANGERINA	13	0	150	300	0
3	196	REFRE PO PROMIX 100G LARANJA	35	1	18	36	90
3	198	REFRE PO PROMIX 100G MANGA	36	0	18	36	0
3	199	REFRE PO PROMIX 100G MARACUJA	36	0	18	36	36
3	843	REFRIG ANTARCTICA PET 600ML GUARANA DIET	0	0	60	72	62
3	885	REFRIG FRUKI CITRUS LT 350ML	0	0	24	36	12
3	582	SUCO COM TEM TP 1L LARANJA	12	0	24	48	12
3	583	SUCO COM TEM TP 1L MACA	20	0	24	48	0
3	590	SUCO COM TEM TP 200ML MACA	49	0	24	48	24
3	38157	SUCO COM TEM VD 1L UVA E MACA	6	0	6	12	0
3	627	SUCO DEL VALLE 100 PCENTO TP 1L LAR	6	0	36	48	
3	674	SUCO MAGUARY TP 1L GOIABA	1	0	24	36	-1
3	675	SUCO MAGUARY TP 1L LARANJA LIGHT	0	0	24	36	0
3	681	SUCO MAGUARY TP 1L TANGERINA	0	0	24	36	-2
3	3838	SUCO MAGUARY TP 1L UVA BAIXA CAL	3	1	24	36	0
3	8530	SUCO SKINKA 450 ML FRUTAS CITRICAS	0	0	72	96	0
3	8531	SUCO SKINKA 450 ML FRUTAS VERMELHA	0	1	60	84	
3	25413	VERMUTE MARTINI 750ML BIANCO	6	1	7	10	0
3	33124	VERMUTE MARTINI 750ML EXTRA DRY	6	2	7	10	0
3	148	VH ARBO MARSELAN SC 750ML	29	2	6	12	36
3	143	VH ARBO RIESLING SC 750ML	18	2	6	12	24
3	38045	VH CANCAO MOSCATO SECO 750ML	0	0	0	0	0
3	25433	VH CONCHA Y TORO RESERV CAB SUAVE 750ML	24	0	12	24	36
3	224	VH DEL GRANO BCO 1 48L SC	19	0	6	12	
3	38158	VH DEL GRANO GOLD ROSE BORDO 750ML SUAVE	0	0	6	12	0
3	281	VH RELAX FRISANTE BCO 750ML DEMI SEC	25	0	6	12	0
3	302	VH SANGUE BOI TINTO 4L SC	10	2	6	8	
3	8748	VINHO CONCHA Y TORO 750ML ROSE	24	0	12	24	48
3	8750	VINHO CONCHA Y TORO 750ML TTO MALBEC	24	0	12	24	0
3	622	VODKA NATASHA VD 900ML	-6	0	7	19	5
3	623	VODKA ORLOFF VD 1L	0	0	9	15	0
3	33723	VODKA WE MIX LN 275ML FTAS VDRS	16	2	6	12	300
3	33725	VODKA WE MIX LN 275ML LIM E GENG	40	1	24	30	600
3	647	WHISKY GREEN VALLEY VD 1L	6	2	9	12	2
4	14	AGUA SABORIZ H2OH PET 1 5L LIMAO	17	0	16	22	6
4	83	AGUA TONICA ANTARCTICA PET 1L ZR	17	0	10	16	17
4	385	AGUARD 51 965ML	96	0	36	48	972
4	366	AGUARD VELHO BARREIRO 910ML CAFE	22	1	6	12	56
4	331	BEB ADES SEEDS TP 1L AMENDOAS BAUNIL	0	1	6	12	
4	382	BEB MISTA TAMPICO PET 2L FRUTAS CITRICAS	24	0	12	24	521
4	549	BITTER SANGALO VD 1L	16	1	9	12	63
4	147	CERV ANTARCTICA PILSEN LT 473ML	296	0	224	296	10081
4	110	CERV BUDWEISER GF 990ML RETORNAVEL	40	0	24	36	276
4	237	CERV BUDWEISER LN 330ML	111	0	28	52	1590
4	159	CERV CORONA EXTRA LT 473ML	101	0	76	100	3846
4	15756	CERV HEINEKEN FULLY LN 250ML	139	0	30	54	
4	136	CERV HEINEKEN PILSEN GF 600ML	60	2	12	24	
4	303	CERV HEINEKEN ZERO LN 330ML	103	0	22	46	0
4	280	CERV ITAIPAVA MALZBIER LN 330ML	37	0	24	48	681
4	309	CERV PROVINCIA MALZBIER ZR LT 473ML	36	0	24	36	352
4	3841	CHA BRAZO VD 350ML C LIMAO FR AMAR	-20	0	10	22	0
4	343	CHA BRAZO VD 350ML HIBISCO PESSEGO	6	0	12	24	0
4	553	CONHAQUE DREHER GENGIBRE VD 900ML	0	1	7	19	
4	482	COQUETEL TAIMBE PET 900ML PESSEGO	45	0	10	22	0
4	492	COQUETEL TAIMBE VD 900ML LIMAO	20	0	10	22	12
4	456	ENERG BALY LT 473ML MACA VERDE	36	0	24	36	42
4	466	ENERG BALY LT 473ML MORANGO PESSEGO	36	0	24	36	173
4	436	ENERG BALY PET 2L MORANGO PESSEGO	30	0	6	12	42
4	404	ENERG ELEV LT 473 ML FRUT TROPICAIS	18	0	12	18	0
