Codigo_Produto;Descricao;Qtd_Lojas_Rede;Filtro_1_Apenas_3_Lojas;Filtro_2_Pequenas_Incompletas;Quais_Lojas_Ativas
68;AGUA MIN FLORESTA ATIVA SQ 710ML S GAS;10;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 017, 018
342;CHA BRAZO VD 350ML F VERM C LIMAO;4;NAO;SIM;003, 004, 014, 015
343;CHA BRAZO VD 350ML HIBISCO PESSEGO;4;NAO;SIM;003, 004, 014, 015
344;CHA BRAZO VD 350ML MATE C LIMAO;4;NAO;SIM;003, 004, 014, 015
346;CHA BRAZO VD 350ML VDE C TANGERINA;4;NAO;SIM;003, 004, 014, 015
989;OLEO SINHA MILHO PET 900ML;2;NAO;SIM;007, 017
1299;BISC DOCE GERMANI MEL C GLACE 300G;11;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015, 017, 018
1402;BISC CRACKER ORQUIDEA 320G GERGELIM;11;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015, 017, 018
1672;WAFER NESTLE 110G PRESTIGIO;10;NAO;SIM;002, 003, 006, 008, 011, 012, 013, 014, 015, 018
1818;MARIOLA STO ANTONIO 760G C GOIABA;11;NAO;SIM;001, 002, 003, 006, 008, 011, 012, 013, 014, 017, 018
1823;MARIOLA STO ANTONIO 750G PRAINHA;10;NAO;SIM;002, 003, 006, 008, 011, 012, 013, 014, 017, 018
1947;MANDOLATE STO ANTONIO 220G CASEIRO;10;NAO;SIM;002, 003, 006, 008, 011, 012, 013, 014, 017, 018
1963;PACOCA ROLHA STO ANTONIO PT 240G;10;NAO;SIM;002, 003, 006, 008, 011, 012, 013, 014, 017, 018
2043;ARROZ ARBOREO ITAL PRATO FINO 500G;10;NAO;SIM;002, 003, 004, 006, 008, 011, 012, 013, 014, 015
2044;ARROZ MULTIGRAOS PRATO FINO TP1 500;8;NAO;SIM;002, 003, 004, 011, 012, 013, 014, 015
2045;ARROZ ORIENTAL PRATO FINO TP1 1KG;8;NAO;SIM;002, 003, 004, 011, 012, 013, 014, 015
2092;ARROZ BCO PRATO FINO TP1 1KG;8;NAO;SIM;002, 003, 004, 011, 012, 013, 014, 015
2104;ARROZ BCO PRATO FINO TP1 2KG;8;NAO;SIM;002, 003, 004, 011, 012, 013, 014, 015
2134;ARROZ BCO SANO OURO TP1 5KG;9;NAO;SIM;002, 003, 004, 006, 013, 014, 015, 017, 018
2210;ARROZ INTEG PRATO FINO 1KG;8;NAO;SIM;002, 003, 004, 011, 012, 013, 014, 015
2212;ARROZ PARBO PRATO FINO TP1 1KG;9;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015
2227;ARROZ PARBO PRATO FINO TP1 2KG;10;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015, 018
2240;ARROZ PARBO PRATO FINO TP1 5KG;10;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015, 018
2522;ERVA MATE CRISTALINA 500G SUAVE;3;SIM;NAO;011, 012, 018
2617;ERVA MATE SEIVA PURA 1KG NATIVA COM ACUCAR;3;SIM;NAO;011, 012, 018
2622;ERVA MATE SEIVA PURA 1KG C ACUCAR;3;SIM;NAO;011, 012, 018
2632;ERVA MATE CRISTALINA 1KG SUAVE;3;SIM;NAO;011, 012, 018
2635;ERVA MATE CRISTALINA 1KG TRAD;3;SIM;NAO;011, 012, 018
2646;ERVA MATE SEIVA PURA 1KG VACUO S ACUCAR;3;SIM;NAO;011, 012, 018
2775;FAROFA MANDIOCA PINDUCA 250G CALABRESA;3;SIM;NAO;015, 017, 018
