Codigo_Produto;Descricao;Qtd_Lojas_Rede;Filtro_1_Apenas_3_Lojas;Filtro_2_Pequenas_Incompletas;Quais_Lojas_Ativas;Estoque_CD;Venda_Total
75;REFRE PO CLIGHT 8G ABACAXI;3;SIM;NAO;001, 003, 015;0;483,0
251;VH DEL GRANO TINTO 1 48L SV;14;NAO;SIM;001, 002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;515;158,0
343;CHA BRAZO VD 350ML HIBISCO PESSEGO;4;NAO;SIM;003, 004, 014, 015;0;0,0
432;COQUETEL BUCANERO PET 790ML;10;NAO;SIM;002, 003, 005, 006, 011, 012, 013, 015, 017, 018;912;531,0
441;ENERG BALY LT 473ML ABACAXI HORTELA;13;NAO;SIM;002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;12;105,0
459;ENERG BALY LT 473ML MANGA;3;SIM;NAO;001, 003, 015;0;3,0
633;VODKA TAIGA PREMIUM VD 1L;10;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 015, 017, 018;9;67,0
707;SUCO NECTAR CBS TP 1L MANGA;11;NAO;SIM;001, 002, 005, 006, 007, 008, 011, 014, 015, 017, 018;9;89,0
876;MAIONESE ODERICH SH 7G C 140;3;SIM;NAO;001, 003, 015;2;18,0
885;REFRIG FRUKI CITRUS LT 350ML;6;NAO;SIM;003, 004, 006, 011, 012, 015;12;6,0
1099;BALA DORI TUBO 70G YOGURTE 100;13;NAO;SIM;002, 003, 004, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;48;410,0
1111;BISC CREAM CRACKER PARATI 370G;13;NAO;SIM;002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;18;235,0
1130;BISC TRIUNFO CREAM CRACKER 164G;12;NAO;SIM;002, 003, 004, 005, 006, 011, 012, 013, 014, 015, 017, 018;1759;555,0
1160;BALA TOFFANO 400G TOFFRUT SORT;14;NAO;SIM;001, 002, 003, 004, 005, 006, 008, 011, 012, 013, 014, 015, 017, 018;0;250,0
1221;BALA GOMA GOMUTCHO 1KG YOGURT PUDIM;3;SIM;NAO;001, 003, 015;0;23,0
1231;BISC DOCE GERMANI BROA MILHO 300G;13;NAO;SIM;002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;80;1288,0
1293;CHOC BARRA NESTLE ALPIN AO LEIT 85G;11;NAO;SIM;002, 005, 006, 007, 008, 011, 012, 014, 015, 017, 018;0;18,0
1449;BISC RECH SAPECA 120G MORANGO;12;NAO;SIM;002, 003, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;30;812,0
1514;CHOC JAZAM DUCREM 480G C 48 NAPOLITANO;3;SIM;NAO;001, 003, 015;0;166,0
1520;BISC RECH BAUDUCCO RECHEADINHO 112G GOIABA;5;NAO;SIM;004, 012, 014, 015, 018;0;94,0
1673;WAFER BAUDUCCO 104G MAXI CHOCOLATE;3;SIM;NAO;001, 003, 015;0;20,0
1991;DOCE N BONN BIG PACOCA 1 3KG CASEIRO;3;SIM;NAO;001, 003, 015;0;8,0
2045;ARROZ ORIENTAL PRATO FINO TP1 1KG;3;SIM;NAO;011, 012, 015;150;5,0
2051;CHA MULTIERVAS REAL 10G CAPIM CIDREIRA;11;NAO;SIM;002, 003, 005, 006, 011, 012, 013, 014, 015, 017, 018;0;391,0
2184;CAPSULA 3C 80G C 10 ESPRESSO VIBRANTE;13;NAO;SIM;002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;30;40,0
2270;CAPSULA STARBUCKS 55G C 10 CAFFE VERONA;3;SIM;NAO;003, 015, 017;3;30,0
2318;ALCAPARRAS CONSERVA JUREIA 200G;7;NAO;SIM;003, 004, 011, 012, 014, 015, 017;2;24,0
2389;FEIJAO PRETO ODERICH LT 420G;9;NAO;SIM;002, 003, 004, 006, 011, 012, 015, 017, 018;95;148,0
2434;PEPINO CONSERVA DA SERRA VD 300G;14;NAO;SIM;001, 002, 003, 004, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;8;115,0
2461;KETCHUP FUGINI SH C BICO 180G TRAD;12;NAO;SIM;001, 002, 003, 005, 006, 011, 012, 013, 014, 015, 017, 018;288;928,0
2522;ERVA MATE CRISTALINA 500G SUAVE;3;SIM;NAO;011, 012, 018;;263,0
2540;ERVA MATE SEIVA PURA 500G SEM ACUCAR;3;SIM;NAO;011, 012, 018;;144,0
2541;ERVA MATE SEIVA PURA 500G COM ACUCAR;3;SIM;NAO;011, 012, 018;;194,0
2542;ERVA MATE SEIVA PURA 500G TERERE NATURAL;3;SIM;NAO;011, 012, 018;;3,0
2586;ERVA MATE VERDINHA 1KG MOIDA GROSSA;3;SIM;NAO;003, 008, 015;1;194,0
2616;ERVA MATE SEIVA PURA 1KG NATIVA SEM ACUCAR;3;SIM;NAO;011, 012, 018;;5747,0
2617;ERVA MATE SEIVA PURA 1KG NATIVA COM ACUCAR;3;SIM;NAO;011, 012, 018;;508,0
2621;ERVA MATE SEIVA PURA 1KG GROSSA S ACUCAR;3;SIM;NAO;011, 012, 018;;198,0
2622;ERVA MATE SEIVA PURA 1KG C ACUCAR;3;SIM;NAO;011, 012, 018;;334,0
2623;ERVA MATE SEIVA PURA 1KG TRAD S ACUCAR;3;SIM;NAO;011, 012, 018;;1509,0
2632;ERVA MATE CRISTALINA 1KG SUAVE;3;SIM;NAO;011, 012, 018;;1150,0
2635;ERVA MATE CRISTALINA 1KG TRAD;3;SIM;NAO;011, 012, 018;;449,0
2646;ERVA MATE SEIVA PURA 1KG VACUO S ACUCAR;3;SIM;NAO;011, 012, 018;;455,0
2736;MOLHO ALHO ADIGEL GF 900ML;13;NAO;SIM;001, 002, 003, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;0;806,0
3003;AVEIA FLOCOS FINOS QUAKER 165G;11;NAO;SIM;002, 003, 005, 006, 011, 012, 013, 014, 015, 017, 018;0;324,0
3181;SALG KEVYTOS SHOW 38G BACON;12;NAO;SIM;002, 003, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;660;2945,0
3198;SALG BATATA RUFFLES 33G CEBOLA E SALSA;5;NAO;SIM;002, 003, 005, 012, 014;;23,0
3252;SALG OBBA 100G CEBOLA E SALSA;14;NAO;SIM;001, 002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;624;938,0
3271;SALG OBBA 100G CHURRASCO;13;NAO;SIM;001, 002, 003, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;230;1011,0
3272;SALG OBBA 100G PICANHA;13;NAO;SIM;001, 002, 003, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;823;627,0
3289;SALG OBBA 100G PRESUNTO;13;NAO;SIM;001, 002, 003, 005, 006, 008, 011, 012, 013, 014, 015, 017, 018;310;1256,0
3298;SALG OBBA 100G REQUEIJAO;13;NAO;SIM;001, 002, 003, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;230;719,0
3299;SALG REDINHA YOKITOS 45G QUEIJO;12;NAO;SIM;002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 017, 018;;828,0
3319;SALG DORITOS 32G SWEET CHILI;7;NAO;SIM;002, 003, 004, 006, 012, 014, 017;;342,0
3343;SALG BOLA CHEETOS 125G QUEIJO SUICO;12;NAO;SIM;002, 003, 004, 006, 007, 008, 011, 012, 013, 014, 017, 018;;164,0
3383;CALDO APTI 19G GALINHA;12;NAO;SIM;001, 003, 004, 006, 008, 011, 012, 013, 014, 015, 017, 018;24;804,0
3397;CALDO APTI 19G LEGUMES;13;NAO;SIM;001, 003, 004, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;0;486,0
3419;CREME LEITE NESTLE TP 200G;11;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015, 017, 018;216;2792,0
3422;CALDO KNORR 57G COSTELA;11;NAO;SIM;002, 004, 006, 007, 008, 011, 012, 013, 014, 015, 018;1;78,0
3530;GRANOLA NATURALE 1KG CER CROC FR LIG;12;NAO;SIM;001, 002, 003, 005, 006, 011, 012, 013, 014, 015, 017, 018;6;118,0
3559;TEMP ADOBO CHURRASCO KITANO 12G;9;NAO;SIM;002, 003, 005, 006, 011, 012, 013, 017, 018;;124,0
3561;TEMP OREGANO KITANO 15G;11;NAO;SIM;002, 003, 005, 006, 008, 011, 012, 013, 015, 017, 018;0;440,0
3620;GELATINA NEILAR 20G CEREJA;12;NAO;SIM;001, 002, 003, 005, 006, 011, 012, 013, 014, 015, 017, 018;4956;1399,0
3733;MIST P BOLO FLEISCHMANN 400G CHOCMOUSSE;11;NAO;SIM;002, 003, 005, 006, 011, 012, 013, 014, 015, 017, 018;40;232,0
3841;CHA BRAZO VD 350ML C LIMAO FR AMAR;4;NAO;SIM;003, 004, 014, 015;0;0,0
4101;RACAO WHISKAS LT 290G ATUM;3;SIM;NAO;003, 014, 015;0;9,0
4891;CL SPR L3P2 BOM AR 12ML RF CAMPOS LAVANDA;3;SIM;NAO;003, 015, 017;0;3,0
5135;COPO LOLLY EDUCATIVO 150ML C ALCA ROSA;3;SIM;NAO;003, 015, 017;0;1,0
5251;CR DENT CLOSE UP 70G TRIPLE MENTA;3;SIM;NAO;001, 003, 015;0;55,0
5317;CR PENT SEDA 350ML BOOM DEFINICAO INTEN;11;NAO;SIM;002, 003, 005, 006, 011, 012, 013, 014, 015, 017, 018;12;202,0
5494;DESOD AERO AXE 152ML 90G URBAN 48H;3;SIM;NAO;001, 003, 015;0;13,0
5653;DESOD ROLLON NIVEA 50ML FM IN B W CLEAR;11;NAO;SIM;002, 003, 005, 006, 011, 012, 013, 014, 015, 017, 018;0;256,0
6300;GUARDANAPO GRAND HOTEL 24X24 50UN;9;NAO;SIM;002, 003, 004, 011, 012, 014, 015, 017, 018;0;231,0
6944;LIMPA FORNO E FOGAO EASY OFF 275G;6;NAO;SIM;003, 004, 013, 014, 015, 017;0;13,0
6977;LIXA UNHA RASKALO AMAR R2306 6UN;3;SIM;NAO;003, 015, 017;1;0,0
7230;OLEO ELSEVE 100ML TRATAM CAPILAR EXTRAORDINARIO;3;SIM;NAO;003, 015, 017;0;10,0
8131;SEMENTE FELTRIN TEMP COENTRO VERDAO;4;NAO;SIM;006, 007, 011, 014;;57,0
8268;SHAMPOO PALMOLIVE 350ML CUIDADO ABSOLUT;8;NAO;SIM;002, 003, 006, 007, 008, 011, 013, 015;6;49,0
8531;SUCO SKINKA 450 ML FRUTAS VERMELHA;12;NAO;SIM;002, 003, 004, 006, 007, 008, 011, 012, 013, 014, 017, 018;;1,0
8560;TALCO VINI LADY 200G BABY CAMOMILA;3;SIM;NAO;001, 003, 015;12;17,0
9126;COND DARLING 350ML TILIA;11;NAO;SIM;002, 003, 004, 006, 007, 011, 012, 013, 015, 017, 018;0;60,0
9925;ODORIZ PURO AR APAR REFIL 12ML TALCO;3;SIM;NAO;002, 003, 015;0;0,0
9996;PETISCO FRISKIES 40G FRANGO;13;NAO;SIM;002, 003, 005, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;46;137,0
10179;SABON PALMOLIVE NATURALS 85G OLEO ARGAN;12;NAO;SIM;002, 003, 005, 006, 008, 011, 012, 013, 014, 015, 017, 018;2640;1301,0
10271;SH ELSEVE HIALURONICO PURE 400ML;3;SIM;NAO;003, 006, 013;;13,0
12387;ALVEJ GOTA LIMPA MULT 2L S CLORO;12;NAO;SIM;002, 003, 006, 007, 008, 011, 012, 013, 014, 015, 017, 018;490;307,0
12518;AP BIC SOLEIL RS C 1;3;SIM;NAO;002, 003, 015;0;40,0
12670;ATUM COQUEIRO RAL NATURAL 170G;3;SIM;NAO;001, 003, 015;0;268,0
